tagNumber,tagDescription,tagStatus,equipmentClassId,manufacturer,criticalityClass,installationDate,cfihosId
P-8201,Reciprocating Pump P-8201,Out of Service,EC-PUMP-RECIP,Ironclad Controls Inc.,High,2016-04-30,CFIHOS-00000028
P-8202,Centrifugal Pump P-8202,In Service,EC-PUMP-CENTR,Halberd Valve Corporation,Low,2023-09-16,CFIHOS-00000028
XV-8203,Isolation Valve XV-8203,Out of Service,EC-VALVE-ISO,Ironclad Controls Inc.,Low,2016-08-04,CFIHOS-00000028
V-8204,Separator V-8204,Commissioning,EC-VESSEL-SEP,Ironclad Controls Inc.,Low,2013-05-16,CFIHOS-00000028
LT-8205,Level Transmitter LT-8205,Decommissioned,EC-INST-LT,Ironclad Controls Inc.,Low,2017-07-31,CFIHOS-00000028
PSV-8206,Pressure Relief Valve PSV-8206,Decommissioned,EC-VALVE-RELIEF,Ironclad Controls Inc.,Low,2017-11-04,CFIHOS-00000028
P-8207,Reciprocating Pump P-8207,Decommissioned,EC-PUMP-RECIP,Ironclad Controls Inc.,High,2014-02-11,CFIHOS-00000028
K-8208,Centrifugal Compressor K-8208,Decommissioned,EC-COMPRESSOR-CENTR,Reedmoor Pumps & Compressors,High,2021-02-16,CFIHOS-00000028
PSV-8209,Pressure Relief Valve PSV-8209,Decommissioned,EC-VALVE-RELIEF,Reedmoor Pumps & Compressors,Low,2016-07-04,CFIHOS-00000028
FCV-8210,Control Valve FCV-8210,Decommissioned,EC-VALVE-CTRL,Ironclad Controls Inc.,Low,2022-10-31,CFIHOS-00000028
P-8211,Centrifugal Pump P-8211,Commissioning,EC-PUMP-CENTR,Halberd Valve Corporation,Medium,2015-10-14,CFIHOS-00000028
PT-8212,Pressure Transmitter PT-8212,In Service,EC-INST-PT,Ironclad Controls Inc.,Medium,2023-10-20,CFIHOS-00000028
K-8213,Centrifugal Compressor K-8213,Commissioning,EC-COMPRESSOR-CENTR,Reedmoor Pumps & Compressors,Medium,2022-09-10,CFIHOS-00000028
XV-8214,Isolation Valve XV-8214,Commissioning,EC-VALVE-ISO,Reedmoor Pumps & Compressors,Medium,2023-09-09,CFIHOS-00000028
P-8215,Reciprocating Pump P-8215,Commissioning,EC-PUMP-RECIP,Ironclad Controls Inc.,Medium,2016-12-31,CFIHOS-00000028
PSV-8216,Pressure Relief Valve PSV-8216,In Service,EC-VALVE-RELIEF,Halberd Valve Corporation,Low,2021-12-02,CFIHOS-00000028
LT-8217,Level Transmitter LT-8217,Out of Service,EC-INST-LT,Reedmoor Pumps & Compressors,Medium,2019-08-26,CFIHOS-00000028
LT-8218,Level Transmitter LT-8218,Commissioning,EC-INST-LT,Ironclad Controls Inc.,Medium,2020-12-29,CFIHOS-00000028
PT-8219,Pressure Transmitter PT-8219,Out of Service,EC-INST-PT,Ironclad Controls Inc.,Low,2015-12-29,CFIHOS-00000028
P-8220,Reciprocating Pump P-8220,Decommissioned,EC-PUMP-RECIP,Halberd Valve Corporation,Medium,2014-05-04,CFIHOS-00000028
XV-8221,Isolation Valve XV-8221,Out of Service,EC-VALVE-ISO,Halberd Valve Corporation,Medium,2019-05-08,CFIHOS-00000028
PSV-8222,Pressure Relief Valve PSV-8222,Decommissioned,EC-VALVE-RELIEF,Ironclad Controls Inc.,High,2012-07-07,CFIHOS-00000028
COL-8223,Distillation Column COL-8223,Decommissioned,EC-VESSEL-COL,Ironclad Controls Inc.,Low,2023-10-23,CFIHOS-00000028
P-8224,Centrifugal Pump P-8224,Decommissioned,EC-PUMP-CENTR,Ironclad Controls Inc.,Medium,2023-12-29,CFIHOS-00000028
E-8225,Shell & Tube Exchanger E-8225,Out of Service,EC-HEATEXCH-SHELL,Reedmoor Pumps & Compressors,Low,2017-08-07,CFIHOS-00000028
P-8226,Reciprocating Pump P-8226,Commissioning,EC-PUMP-RECIP,Ironclad Controls Inc.,High,2023-02-10,CFIHOS-00000028
PT-8227,Pressure Transmitter PT-8227,Commissioning,EC-INST-PT,Ironclad Controls Inc.,Low,2018-06-02,CFIHOS-00000028
PT-8228,Pressure Transmitter PT-8228,Commissioning,EC-INST-PT,Ironclad Controls Inc.,Medium,2014-11-04,CFIHOS-00000028
PSV-8229,Pressure Relief Valve PSV-8229,In Service,EC-VALVE-RELIEF,Halberd Valve Corporation,Low,2016-03-28,CFIHOS-00000028
COL-8230,Distillation Column COL-8230,Commissioning,EC-VESSEL-COL,Halberd Valve Corporation,Medium,2021-07-04,CFIHOS-00000028
COL-8231,Distillation Column COL-8231,Out of Service,EC-VESSEL-COL,Halberd Valve Corporation,Medium,2014-03-19,CFIHOS-00000028
P-8232,Reciprocating Pump P-8232,In Service,EC-PUMP-RECIP,Halberd Valve Corporation,Medium,2022-05-16,CFIHOS-00000028
XV-8233,Isolation Valve XV-8233,In Service,EC-VALVE-ISO,Ironclad Controls Inc.,Low,2017-04-11,CFIHOS-00000028
K-8234,Centrifugal Compressor K-8234,Out of Service,EC-COMPRESSOR-CENTR,Ironclad Controls Inc.,Low,2012-03-08,CFIHOS-00000028
FT-8235,Flow Transmitter FT-8235,In Service,EC-INST-FT,Reedmoor Pumps & Compressors,Medium,2013-08-24,CFIHOS-00000028
FCV-8236,Control Valve FCV-8236,Decommissioned,EC-VALVE-CTRL,Halberd Valve Corporation,Medium,2020-08-21,CFIHOS-00000028
FT-8237,Flow Transmitter FT-8237,Out of Service,EC-INST-FT,Ironclad Controls Inc.,High,2014-02-26,CFIHOS-00000028
FT-8238,Flow Transmitter FT-8238,Decommissioned,EC-INST-FT,Ironclad Controls Inc.,Medium,2017-08-29,CFIHOS-00000028
P-8239,Centrifugal Pump P-8239,In Service,EC-PUMP-CENTR,Halberd Valve Corporation,Low,2015-08-03,CFIHOS-00000028
FCV-8240,Control Valve FCV-8240,In Service,EC-VALVE-CTRL,Ironclad Controls Inc.,High,2020-09-22,CFIHOS-00000028
COL-8241,Distillation Column COL-8241,Out of Service,EC-VESSEL-COL,Reedmoor Pumps & Compressors,Low,2017-06-30,CFIHOS-00000028
E-8242,Shell & Tube Exchanger E-8242,Decommissioned,EC-HEATEXCH-SHELL,Ironclad Controls Inc.,High,2021-04-30,CFIHOS-00000028
FT-8243,Flow Transmitter FT-8243,Out of Service,EC-INST-FT,Reedmoor Pumps & Compressors,Low,2012-04-26,CFIHOS-00000028
FCV-8244,Control Valve FCV-8244,Commissioning,EC-VALVE-CTRL,Ironclad Controls Inc.,Medium,2016-01-01,CFIHOS-00000028
V-8245,Separator V-8245,In Service,EC-VESSEL-SEP,Halberd Valve Corporation,High,2020-03-09,CFIHOS-00000028
TT-8246,Temperature Transmitter TT-8246,In Service,EC-INST-TT,Halberd Valve Corporation,Low,2023-06-21,CFIHOS-00000028
P-8247,Centrifugal Pump P-8247,In Service,EC-PUMP-CENTR,Halberd Valve Corporation,High,2019-06-14,CFIHOS-00000028
XV-8248,Isolation Valve XV-8248,Decommissioned,EC-VALVE-ISO,Halberd Valve Corporation,Medium,2023-10-01,CFIHOS-00000028
LT-8249,Level Transmitter LT-8249,Decommissioned,EC-INST-LT,Reedmoor Pumps & Compressors,High,2016-04-10,CFIHOS-00000028
P-8250,Centrifugal Pump P-8250,Decommissioned,EC-PUMP-CENTR,Halberd Valve Corporation,Low,2013-05-27,CFIHOS-00000028
K-8251,Centrifugal Compressor K-8251,Decommissioned,EC-COMPRESSOR-CENTR,Reedmoor Pumps & Compressors,High,2022-06-25,CFIHOS-00000028
V-8252,Separator V-8252,Decommissioned,EC-VESSEL-SEP,Halberd Valve Corporation,Medium,2018-01-13,CFIHOS-00000028
P-8253,Reciprocating Pump P-8253,Out of Service,EC-PUMP-RECIP,Ironclad Controls Inc.,Low,2013-05-02,CFIHOS-00000028
E-8254,Shell & Tube Exchanger E-8254,In Service,EC-HEATEXCH-SHELL,Reedmoor Pumps & Compressors,Low,2015-01-03,CFIHOS-00000028
TT-8255,Temperature Transmitter TT-8255,Commissioning,EC-INST-TT,Reedmoor Pumps & Compressors,Low,2021-03-03,CFIHOS-00000028
XV-8256,Isolation Valve XV-8256,Out of Service,EC-VALVE-ISO,Ironclad Controls Inc.,Low,2015-10-04,CFIHOS-00000028
LT-8257,Level Transmitter LT-8257,Decommissioned,EC-INST-LT,Halberd Valve Corporation,Low,2022-12-06,CFIHOS-00000028
FT-8258,Flow Transmitter FT-8258,Out of Service,EC-INST-FT,Ironclad Controls Inc.,Low,2013-12-25,CFIHOS-00000028
P-8259,Centrifugal Pump P-8259,Commissioning,EC-PUMP-CENTR,Reedmoor Pumps & Compressors,Medium,2020-02-23,CFIHOS-00000028
PT-8260,Pressure Transmitter PT-8260,Out of Service,EC-INST-PT,Reedmoor Pumps & Compressors,Low,2016-12-15,CFIHOS-00000028
PSV-8261,Pressure Relief Valve PSV-8261,Decommissioned,EC-VALVE-RELIEF,Halberd Valve Corporation,Low,2014-03-09,CFIHOS-00000028
V-8262,Separator V-8262,In Service,EC-VESSEL-SEP,Ironclad Controls Inc.,Medium,2022-12-13,CFIHOS-00000028
COL-8263,Distillation Column COL-8263,Commissioning,EC-VESSEL-COL,Reedmoor Pumps & Compressors,Low,2021-03-07,CFIHOS-00000028
P-8264,Reciprocating Pump P-8264,Out of Service,EC-PUMP-RECIP,Ironclad Controls Inc.,Medium,2013-06-12,CFIHOS-00000028
V-8265,Separator V-8265,Decommissioned,EC-VESSEL-SEP,Reedmoor Pumps & Compressors,Low,2012-12-11,CFIHOS-00000028
FCV-8266,Control Valve FCV-8266,Decommissioned,EC-VALVE-CTRL,Ironclad Controls Inc.,Medium,2017-11-26,CFIHOS-00000028
PT-8267,Pressure Transmitter PT-8267,In Service,EC-INST-PT,Halberd Valve Corporation,Low,2014-09-18,CFIHOS-00000028
E-8268,Shell & Tube Exchanger E-8268,Commissioning,EC-HEATEXCH-SHELL,Ironclad Controls Inc.,Low,2018-09-30,CFIHOS-00000028
PT-8269,Pressure Transmitter PT-8269,Decommissioned,EC-INST-PT,Ironclad Controls Inc.,Medium,2012-12-17,CFIHOS-00000028
P-8270,Centrifugal Pump P-8270,Commissioning,EC-PUMP-CENTR,Reedmoor Pumps & Compressors,Low,2023-08-04,CFIHOS-00000028
V-8271,Separator V-8271,Out of Service,EC-VESSEL-SEP,Reedmoor Pumps & Compressors,Low,2016-02-27,CFIHOS-00000028
P-8272,Centrifugal Pump P-8272,In Service,EC-PUMP-CENTR,Ironclad Controls Inc.,Medium,2012-06-18,CFIHOS-00000028
P-8273,Reciprocating Pump P-8273,Decommissioned,EC-PUMP-RECIP,Reedmoor Pumps & Compressors,Low,2019-03-21,CFIHOS-00000028
E-8274,Shell & Tube Exchanger E-8274,Out of Service,EC-HEATEXCH-SHELL,Ironclad Controls Inc.,High,2019-05-28,CFIHOS-00000028
COL-8275,Distillation Column COL-8275,Out of Service,EC-VESSEL-COL,Halberd Valve Corporation,High,2018-01-08,CFIHOS-00000028
V-8276,Separator V-8276,In Service,EC-VESSEL-SEP,Halberd Valve Corporation,Medium,2014-06-30,CFIHOS-00000028
FCV-8277,Control Valve FCV-8277,Commissioning,EC-VALVE-CTRL,Reedmoor Pumps & Compressors,Medium,2016-03-13,CFIHOS-00000028
PSV-8278,Pressure Relief Valve PSV-8278,Out of Service,EC-VALVE-RELIEF,Halberd Valve Corporation,High,2015-01-14,CFIHOS-00000028
COL-8279,Distillation Column COL-8279,In Service,EC-VESSEL-COL,Ironclad Controls Inc.,Low,2022-01-21,CFIHOS-00000028
FCV-8280,Control Valve FCV-8280,Out of Service,EC-VALVE-CTRL,Ironclad Controls Inc.,High,2020-01-24,CFIHOS-00000028
K-8281,Centrifugal Compressor K-8281,Decommissioned,EC-COMPRESSOR-CENTR,Reedmoor Pumps & Compressors,Medium,2023-12-12,CFIHOS-00000028
E-8282,Shell & Tube Exchanger E-8282,Decommissioned,EC-HEATEXCH-SHELL,Reedmoor Pumps & Compressors,Medium,2017-06-12,CFIHOS-00000028
P-8283,Centrifugal Pump P-8283,Commissioning,EC-PUMP-CENTR,Reedmoor Pumps & Compressors,High,2012-08-30,CFIHOS-00000028
TT-8284,Temperature Transmitter TT-8284,In Service,EC-INST-TT,Halberd Valve Corporation,Low,2021-05-13,CFIHOS-00000028
XV-8285,Isolation Valve XV-8285,Out of Service,EC-VALVE-ISO,Ironclad Controls Inc.,Low,2013-10-21,CFIHOS-00000028
PT-8286,Pressure Transmitter PT-8286,In Service,EC-INST-PT,Reedmoor Pumps & Compressors,High,2015-06-15,CFIHOS-00000028
FCV-8287,Control Valve FCV-8287,Commissioning,EC-VALVE-CTRL,Ironclad Controls Inc.,Low,2022-09-10,CFIHOS-00000028
COL-8288,Distillation Column COL-8288,Decommissioned,EC-VESSEL-COL,Reedmoor Pumps & Compressors,Medium,2016-03-13,CFIHOS-00000028
PT-8289,Pressure Transmitter PT-8289,Decommissioned,EC-INST-PT,Ironclad Controls Inc.,Medium,2020-01-27,CFIHOS-00000028
LT-8290,Level Transmitter LT-8290,Out of Service,EC-INST-LT,Reedmoor Pumps & Compressors,Medium,2023-06-01,CFIHOS-00000028
V-8291,Separator V-8291,Out of Service,EC-VESSEL-SEP,Halberd Valve Corporation,Medium,2012-07-19,CFIHOS-00000028
LT-8292,Level Transmitter LT-8292,Decommissioned,EC-INST-LT,Ironclad Controls Inc.,Low,2022-09-12,CFIHOS-00000028
PT-8293,Pressure Transmitter PT-8293,Commissioning,EC-INST-PT,Ironclad Controls Inc.,Low,2022-08-10,CFIHOS-00000028
P-8294,Reciprocating Pump P-8294,Commissioning,EC-PUMP-RECIP,Halberd Valve Corporation,High,2015-12-10,CFIHOS-00000028
COL-8295,Distillation Column COL-8295,Out of Service,EC-VESSEL-COL,Ironclad Controls Inc.,Low,2017-12-11,CFIHOS-00000028
COL-8296,Distillation Column COL-8296,Commissioning,EC-VESSEL-COL,Ironclad Controls Inc.,Medium,2023-06-07,CFIHOS-00000028
COL-8297,Distillation Column COL-8297,Commissioning,EC-VESSEL-COL,Halberd Valve Corporation,Medium,2018-06-15,CFIHOS-00000028
E-8298,Shell & Tube Exchanger E-8298,In Service,EC-HEATEXCH-SHELL,Halberd Valve Corporation,Low,2018-12-25,CFIHOS-00000028
COL-8299,Distillation Column COL-8299,In Service,EC-VESSEL-COL,Ironclad Controls Inc.,High,2016-05-23,CFIHOS-00000028
E-8300,Shell & Tube Exchanger E-8300,In Service,EC-HEATEXCH-SHELL,Ironclad Controls Inc.,Medium,2014-05-17,CFIHOS-00000028
P-8301,Reciprocating Pump P-8301,In Service,EC-PUMP-RECIP,Halberd Valve Corporation,High,2023-12-30,CFIHOS-00000028
FT-8302,Flow Transmitter FT-8302,Decommissioned,EC-INST-FT,Ironclad Controls Inc.,Medium,2019-04-22,CFIHOS-00000028
TT-8303,Temperature Transmitter TT-8303,Out of Service,EC-INST-TT,Reedmoor Pumps & Compressors,Low,2023-10-06,CFIHOS-00000028
P-8304,Reciprocating Pump P-8304,Commissioning,EC-PUMP-RECIP,Reedmoor Pumps & Compressors,Medium,2013-09-19,CFIHOS-00000028
TT-8305,Temperature Transmitter TT-8305,Decommissioned,EC-INST-TT,Halberd Valve Corporation,High,2023-08-29,CFIHOS-00000028
P-8306,Centrifugal Pump P-8306,In Service,EC-PUMP-CENTR,Reedmoor Pumps & Compressors,Low,2022-05-02,CFIHOS-00000028
PSV-8307,Pressure Relief Valve PSV-8307,Commissioning,EC-VALVE-RELIEF,Halberd Valve Corporation,Medium,2012-01-21,CFIHOS-00000028
TT-8308,Temperature Transmitter TT-8308,Out of Service,EC-INST-TT,Reedmoor Pumps & Compressors,High,2017-10-16,CFIHOS-00000028
XV-8309,Isolation Valve XV-8309,Decommissioned,EC-VALVE-ISO,Reedmoor Pumps & Compressors,Medium,2016-08-10,CFIHOS-00000028
FT-8310,Flow Transmitter FT-8310,Out of Service,EC-INST-FT,Ironclad Controls Inc.,Low,2023-08-04,CFIHOS-00000028
PT-8311,Pressure Transmitter PT-8311,Commissioning,EC-INST-PT,Halberd Valve Corporation,Medium,2014-01-12,CFIHOS-00000028
LT-8312,Level Transmitter LT-8312,Decommissioned,EC-INST-LT,Ironclad Controls Inc.,Medium,2019-02-04,CFIHOS-00000028
PT-8313,Pressure Transmitter PT-8313,In Service,EC-INST-PT,Reedmoor Pumps & Compressors,High,2021-04-16,CFIHOS-00000028
FT-8314,Flow Transmitter FT-8314,Out of Service,EC-INST-FT,Halberd Valve Corporation,Low,2022-01-10,CFIHOS-00000028
TT-8315,Temperature Transmitter TT-8315,In Service,EC-INST-TT,Ironclad Controls Inc.,High,2013-06-14,CFIHOS-00000028
FCV-8316,Control Valve FCV-8316,Decommissioned,EC-VALVE-CTRL,Ironclad Controls Inc.,Medium,2022-12-28,CFIHOS-00000028
PSV-8317,Pressure Relief Valve PSV-8317,In Service,EC-VALVE-RELIEF,Halberd Valve Corporation,Medium,2019-07-15,CFIHOS-00000028
TT-8318,Temperature Transmitter TT-8318,Out of Service,EC-INST-TT,Ironclad Controls Inc.,Low,2019-03-14,CFIHOS-00000028
TT-8319,Temperature Transmitter TT-8319,In Service,EC-INST-TT,Reedmoor Pumps & Compressors,Medium,2023-07-27,CFIHOS-00000028
P-8320,Reciprocating Pump P-8320,Commissioning,EC-PUMP-RECIP,Reedmoor Pumps & Compressors,Low,2017-06-03,CFIHOS-00000028
E-8321,Shell & Tube Exchanger E-8321,Commissioning,EC-HEATEXCH-SHELL,Halberd Valve Corporation,Low,2017-06-03,CFIHOS-00000028
COL-8322,Distillation Column COL-8322,Out of Service,EC-VESSEL-COL,Reedmoor Pumps & Compressors,Low,2017-04-16,CFIHOS-00000028
K-8323,Centrifugal Compressor K-8323,Out of Service,EC-COMPRESSOR-CENTR,Ironclad Controls Inc.,Low,2015-11-13,CFIHOS-00000028
XV-8324,Isolation Valve XV-8324,Commissioning,EC-VALVE-ISO,Halberd Valve Corporation,High,2016-01-23,CFIHOS-00000028
PSV-8325,Pressure Relief Valve PSV-8325,Out of Service,EC-VALVE-RELIEF,Reedmoor Pumps & Compressors,High,2014-04-12,CFIHOS-00000028
K-8326,Centrifugal Compressor K-8326,Decommissioned,EC-COMPRESSOR-CENTR,Reedmoor Pumps & Compressors,Medium,2016-08-28,CFIHOS-00000028
COL-8327,Distillation Column COL-8327,In Service,EC-VESSEL-COL,Ironclad Controls Inc.,High,2023-07-15,CFIHOS-00000028
V-8328,Separator V-8328,Commissioning,EC-VESSEL-SEP,Reedmoor Pumps & Compressors,Low,2013-03-24,CFIHOS-00000028
FCV-8329,Control Valve FCV-8329,Commissioning,EC-VALVE-CTRL,Reedmoor Pumps & Compressors,Medium,2012-09-29,CFIHOS-00000028
FCV-8330,Control Valve FCV-8330,In Service,EC-VALVE-CTRL,Ironclad Controls Inc.,High,2022-11-13,CFIHOS-00000028
V-8331,Separator V-8331,Commissioning,EC-VESSEL-SEP,Ironclad Controls Inc.,High,2016-08-27,CFIHOS-00000028
PSV-8332,Pressure Relief Valve PSV-8332,Decommissioned,EC-VALVE-RELIEF,Reedmoor Pumps & Compressors,Low,2020-06-01,CFIHOS-00000028
XV-8333,Isolation Valve XV-8333,Commissioning,EC-VALVE-ISO,Ironclad Controls Inc.,Medium,2013-08-27,CFIHOS-00000028
LT-8334,Level Transmitter LT-8334,Decommissioned,EC-INST-LT,Reedmoor Pumps & Compressors,Low,2023-02-09,CFIHOS-00000028
P-8335,Centrifugal Pump P-8335,Commissioning,EC-PUMP-CENTR,Reedmoor Pumps & Compressors,High,2020-01-28,CFIHOS-00000028
LT-8336,Level Transmitter LT-8336,In Service,EC-INST-LT,Reedmoor Pumps & Compressors,Medium,2014-02-19,CFIHOS-00000028
E-8337,Shell & Tube Exchanger E-8337,Commissioning,EC-HEATEXCH-SHELL,Reedmoor Pumps & Compressors,Low,2020-07-20,CFIHOS-00000028
PT-8338,Pressure Transmitter PT-8338,Out of Service,EC-INST-PT,Ironclad Controls Inc.,Low,2018-12-30,CFIHOS-00000028
PT-8339,Pressure Transmitter PT-8339,Out of Service,EC-INST-PT,Ironclad Controls Inc.,High,2015-03-06,CFIHOS-00000028
LT-8340,Level Transmitter LT-8340,Commissioning,EC-INST-LT,Ironclad Controls Inc.,Low,2022-07-22,CFIHOS-00000028
FCV-8341,Control Valve FCV-8341,Commissioning,EC-VALVE-CTRL,Halberd Valve Corporation,Medium,2020-01-29,CFIHOS-00000028
K-8342,Centrifugal Compressor K-8342,Commissioning,EC-COMPRESSOR-CENTR,Ironclad Controls Inc.,High,2014-08-07,CFIHOS-00000028
XV-8343,Isolation Valve XV-8343,In Service,EC-VALVE-ISO,Ironclad Controls Inc.,Medium,2023-11-27,CFIHOS-00000028
TT-8344,Temperature Transmitter TT-8344,Commissioning,EC-INST-TT,Ironclad Controls Inc.,Low,2015-09-14,CFIHOS-00000028
XV-8345,Isolation Valve XV-8345,Out of Service,EC-VALVE-ISO,Halberd Valve Corporation,Medium,2012-10-19,CFIHOS-00000028
K-8346,Centrifugal Compressor K-8346,Out of Service,EC-COMPRESSOR-CENTR,Halberd Valve Corporation,Low,2017-01-21,CFIHOS-00000028
XV-8347,Isolation Valve XV-8347,Out of Service,EC-VALVE-ISO,Ironclad Controls Inc.,Medium,2017-05-18,CFIHOS-00000028
PT-8348,Pressure Transmitter PT-8348,Out of Service,EC-INST-PT,Halberd Valve Corporation,High,2023-10-17,CFIHOS-00000028
K-8349,Centrifugal Compressor K-8349,Commissioning,EC-COMPRESSOR-CENTR,Ironclad Controls Inc.,High,2021-11-03,CFIHOS-00000028
PSV-8350,Pressure Relief Valve PSV-8350,Decommissioned,EC-VALVE-RELIEF,Halberd Valve Corporation,High,2012-12-24,CFIHOS-00000028
COL-8351,Distillation Column COL-8351,Out of Service,EC-VESSEL-COL,Reedmoor Pumps & Compressors,High,2023-10-07,CFIHOS-00000028
P-8352,Centrifugal Pump P-8352,Decommissioned,EC-PUMP-CENTR,Reedmoor Pumps & Compressors,Medium,2020-09-16,CFIHOS-00000028
P-8353,Centrifugal Pump P-8353,Out of Service,EC-PUMP-CENTR,Ironclad Controls Inc.,Medium,2022-03-24,CFIHOS-00000028
COL-8354,Distillation Column COL-8354,In Service,EC-VESSEL-COL,Reedmoor Pumps & Compressors,Medium,2012-05-07,CFIHOS-00000028
COL-8355,Distillation Column COL-8355,Decommissioned,EC-VESSEL-COL,Ironclad Controls Inc.,Medium,2019-04-01,CFIHOS-00000028
PT-8356,Pressure Transmitter PT-8356,In Service,EC-INST-PT,Ironclad Controls Inc.,Medium,2023-12-30,CFIHOS-00000028
V-8357,Separator V-8357,Decommissioned,EC-VESSEL-SEP,Reedmoor Pumps & Compressors,High,2016-07-12,CFIHOS-00000028
FCV-8358,Control Valve FCV-8358,Out of Service,EC-VALVE-CTRL,Halberd Valve Corporation,Medium,2017-05-21,CFIHOS-00000028
P-8359,Centrifugal Pump P-8359,In Service,EC-PUMP-CENTR,Reedmoor Pumps & Compressors,Low,2013-06-08,CFIHOS-00000028
TT-8360,Temperature Transmitter TT-8360,In Service,EC-INST-TT,Ironclad Controls Inc.,Low,2022-07-11,CFIHOS-00000028
P-8361,Reciprocating Pump P-8361,Commissioning,EC-PUMP-RECIP,Reedmoor Pumps & Compressors,Medium,2013-10-05,CFIHOS-00000028
K-8362,Centrifugal Compressor K-8362,In Service,EC-COMPRESSOR-CENTR,Reedmoor Pumps & Compressors,High,2015-06-15,CFIHOS-00000028
PT-8363,Pressure Transmitter PT-8363,Decommissioned,EC-INST-PT,Reedmoor Pumps & Compressors,High,2016-11-06,CFIHOS-00000028
FCV-8364,Control Valve FCV-8364,Decommissioned,EC-VALVE-CTRL,Halberd Valve Corporation,Medium,2012-01-17,CFIHOS-00000028
LT-8365,Level Transmitter LT-8365,Commissioning,EC-INST-LT,Ironclad Controls Inc.,Medium,2018-09-06,CFIHOS-00000028
FCV-8366,Control Valve FCV-8366,Commissioning,EC-VALVE-CTRL,Ironclad Controls Inc.,High,2015-10-31,CFIHOS-00000028
PSV-8367,Pressure Relief Valve PSV-8367,Commissioning,EC-VALVE-RELIEF,Reedmoor Pumps & Compressors,High,2014-12-13,CFIHOS-00000028
K-8368,Centrifugal Compressor K-8368,In Service,EC-COMPRESSOR-CENTR,Halberd Valve Corporation,High,2016-04-11,CFIHOS-00000028
FCV-8369,Control Valve FCV-8369,Decommissioned,EC-VALVE-CTRL,Ironclad Controls Inc.,High,2015-08-12,CFIHOS-00000028
PSV-8370,Pressure Relief Valve PSV-8370,Commissioning,EC-VALVE-RELIEF,Halberd Valve Corporation,Low,2022-12-14,CFIHOS-00000028
TT-8371,Temperature Transmitter TT-8371,In Service,EC-INST-TT,Reedmoor Pumps & Compressors,Medium,2017-03-01,CFIHOS-00000028
K-8372,Centrifugal Compressor K-8372,Commissioning,EC-COMPRESSOR-CENTR,Ironclad Controls Inc.,Medium,2014-08-12,CFIHOS-00000028
FT-8373,Flow Transmitter FT-8373,Decommissioned,EC-INST-FT,Reedmoor Pumps & Compressors,Low,2018-04-18,CFIHOS-00000028
LT-8374,Level Transmitter LT-8374,Out of Service,EC-INST-LT,Reedmoor Pumps & Compressors,Medium,2018-05-30,CFIHOS-00000028
P-8375,Centrifugal Pump P-8375,Decommissioned,EC-PUMP-CENTR,Ironclad Controls Inc.,Medium,2016-10-31,CFIHOS-00000028
V-8376,Separator V-8376,In Service,EC-VESSEL-SEP,Halberd Valve Corporation,Low,2016-03-30,CFIHOS-00000028
P-8377,Centrifugal Pump P-8377,Decommissioned,EC-PUMP-CENTR,Ironclad Controls Inc.,High,2020-10-17,CFIHOS-00000028
XV-8378,Isolation Valve XV-8378,Commissioning,EC-VALVE-ISO,Halberd Valve Corporation,High,2022-11-18,CFIHOS-00000028
XV-8379,Isolation Valve XV-8379,In Service,EC-VALVE-ISO,Ironclad Controls Inc.,Medium,2015-09-04,CFIHOS-00000028
V-8380,Separator V-8380,In Service,EC-VESSEL-SEP,Reedmoor Pumps & Compressors,Medium,2016-03-12,CFIHOS-00000028
TT-8381,Temperature Transmitter TT-8381,Commissioning,EC-INST-TT,Ironclad Controls Inc.,Low,2022-07-22,CFIHOS-00000028
LT-8382,Level Transmitter LT-8382,Decommissioned,EC-INST-LT,Reedmoor Pumps & Compressors,Low,2016-02-02,CFIHOS-00000028
LT-8383,Level Transmitter LT-8383,Out of Service,EC-INST-LT,Halberd Valve Corporation,High,2013-06-08,CFIHOS-00000028
PSV-8384,Pressure Relief Valve PSV-8384,Decommissioned,EC-VALVE-RELIEF,Ironclad Controls Inc.,High,2015-09-19,CFIHOS-00000028
FCV-8385,Control Valve FCV-8385,Commissioning,EC-VALVE-CTRL,Reedmoor Pumps & Compressors,High,2023-09-16,CFIHOS-00000028
K-8386,Centrifugal Compressor K-8386,In Service,EC-COMPRESSOR-CENTR,Halberd Valve Corporation,Medium,2015-12-17,CFIHOS-00000028
LT-8387,Level Transmitter LT-8387,Commissioning,EC-INST-LT,Ironclad Controls Inc.,Low,2012-08-16,CFIHOS-00000028
V-8388,Separator V-8388,Commissioning,EC-VESSEL-SEP,Halberd Valve Corporation,Low,2018-07-14,CFIHOS-00000028
P-8389,Centrifugal Pump P-8389,In Service,EC-PUMP-CENTR,Ironclad Controls Inc.,High,2015-11-08,CFIHOS-00000028
PSV-8390,Pressure Relief Valve PSV-8390,Out of Service,EC-VALVE-RELIEF,Reedmoor Pumps & Compressors,Low,2015-06-22,CFIHOS-00000028
PSV-8391,Pressure Relief Valve PSV-8391,Out of Service,EC-VALVE-RELIEF,Reedmoor Pumps & Compressors,Low,2012-08-03,CFIHOS-00000028
PT-8392,Pressure Transmitter PT-8392,Commissioning,EC-INST-PT,Reedmoor Pumps & Compressors,Low,2019-10-25,CFIHOS-00000028
