documentNumber,documentTitle,documentTypeId,revision,status,cfihosId
DOC-000229,P&ID - Tank Farm 57 - Rev 0,DT-PID,B,As-Built,CFIHOS-00000010
DOC-000230,Instrument Loop Diagram - Utilities Area 58 - Rev A,DT-LOOPDIAG,B,Superseded,CFIHOS-00000010
DOC-000231,P&ID - Utilities Area 58 - Rev 1,DT-PID,2,Superseded,CFIHOS-00000010
DOC-000232,P&ID - Utilities Area 58 - Rev A,DT-PID,1,Superseded,CFIHOS-00000010
DOC-000233,P&ID - Utilities Area 58 - Rev 1,DT-PID,2,Issued for Review,CFIHOS-00000010
DOC-000234,Piping Isometric - Utilities Area 58 - Rev A,DT-ISOMETRIC,1,Superseded,CFIHOS-00000010
DOC-000235,Equipment Datasheet - Process Unit 59 - Rev 1,DT-DATASHEET,B,As-Built,CFIHOS-00000010
DOC-000236,Piping Isometric - Process Unit 59 - Rev C,DT-ISOMETRIC,C,Superseded,CFIHOS-00000010
DOC-000237,Calibration Certificate - Process Unit 59 - Rev 0,DT-CALCERT,0,As-Built,CFIHOS-00000010
DOC-000238,Equipment Datasheet - Power Generation 60 - Rev 2,DT-DATASHEET,2,Approved for Construction,CFIHOS-00000010
DOC-000239,Network Architecture Diagram - Power Generation 60 - Rev 0,DT-NETARCH,0,Superseded,CFIHOS-00000010
DOC-000240,P&ID - Power Generation 60 - Rev 2,DT-PID,B,Approved for Construction,CFIHOS-00000010
DOC-000241,Network Architecture Diagram - Power Generation 60 - Rev 2,DT-NETARCH,C,Approved for Construction,CFIHOS-00000010
DOC-000242,Single Line Diagram - Power Generation 61 - Rev B,DT-SLD,2,Superseded,CFIHOS-00000010
DOC-000243,P&ID - Power Generation 61 - Rev A,DT-PID,2,Issued for Review,CFIHOS-00000010
DOC-000244,P&ID - Power Generation 61 - Rev B,DT-PID,C,Approved for Construction,CFIHOS-00000010
DOC-000245,Instrument Loop Diagram - Tank Farm 62 - Rev 2,DT-LOOPDIAG,0,Approved for Construction,CFIHOS-00000010
DOC-000246,Instrument Loop Diagram - Tank Farm 62 - Rev 1,DT-LOOPDIAG,B,Superseded,CFIHOS-00000010
DOC-000247,Calibration Certificate - Tank Farm 62 - Rev 0,DT-CALCERT,2,As-Built,CFIHOS-00000010
DOC-000248,Calibration Certificate - Tank Farm 62 - Rev A,DT-CALCERT,A,Superseded,CFIHOS-00000010
DOC-000249,Equipment Datasheet - Tank Farm 62 - Rev C,DT-DATASHEET,1,Superseded,CFIHOS-00000010
DOC-000250,Piping Isometric - Power Generation 63 - Rev 0,DT-ISOMETRIC,0,As-Built,CFIHOS-00000010
DOC-000251,Network Architecture Diagram - Power Generation 63 - Rev 0,DT-NETARCH,B,Superseded,CFIHOS-00000010
DOC-000252,Piping Isometric - Power Generation 63 - Rev B,DT-ISOMETRIC,2,Approved for Construction,CFIHOS-00000010
DOC-000253,Instrument Loop Diagram - Tank Farm 64 - Rev 0,DT-LOOPDIAG,2,As-Built,CFIHOS-00000010
DOC-000254,Calibration Certificate - Tank Farm 64 - Rev C,DT-CALCERT,A,Approved for Construction,CFIHOS-00000010
DOC-000255,Piping Isometric - Tank Farm 64 - Rev 0,DT-ISOMETRIC,C,Issued for Review,CFIHOS-00000010
DOC-000256,Instrument Loop Diagram - Tank Farm 64 - Rev A,DT-LOOPDIAG,B,Superseded,CFIHOS-00000010
DOC-000257,Network Architecture Diagram - Power Generation 65 - Rev A,DT-NETARCH,A,Approved for Construction,CFIHOS-00000010
DOC-000258,Equipment Datasheet - Power Generation 65 - Rev 1,DT-DATASHEET,1,Issued for Review,CFIHOS-00000010
DOC-000259,P&ID - Power Generation 65 - Rev C,DT-PID,0,Superseded,CFIHOS-00000010
DOC-000260,Single Line Diagram - Power Generation 65 - Rev 1,DT-SLD,1,As-Built,CFIHOS-00000010
DOC-000261,Instrument Loop Diagram - Power Generation 65 - Rev B,DT-LOOPDIAG,C,Issued for Review,CFIHOS-00000010
DOC-000262,Instrument Loop Diagram - Process Unit 66 - Rev A,DT-LOOPDIAG,B,Superseded,CFIHOS-00000010
DOC-000263,Network Architecture Diagram - Process Unit 66 - Rev C,DT-NETARCH,0,Approved for Construction,CFIHOS-00000010
DOC-000264,Piping Isometric - Process Unit 66 - Rev B,DT-ISOMETRIC,2,Superseded,CFIHOS-00000010
DOC-000265,Single Line Diagram - Process Unit 66 - Rev 0,DT-SLD,A,As-Built,CFIHOS-00000010
DOC-000266,Network Architecture Diagram - Tank Farm 67 - Rev C,DT-NETARCH,1,Superseded,CFIHOS-00000010
DOC-000267,Risk Assessment Report - Tank Farm 67 - Rev C,DT-RISKREPORT,0,As-Built,CFIHOS-00000010
DOC-000268,Calibration Certificate - Tank Farm 67 - Rev 1,DT-CALCERT,2,As-Built,CFIHOS-00000010
DOC-000269,Instrument Loop Diagram - Process Unit 68 - Rev 0,DT-LOOPDIAG,C,Issued for Review,CFIHOS-00000010
DOC-000270,Single Line Diagram - Process Unit 68 - Rev C,DT-SLD,0,Issued for Review,CFIHOS-00000010
DOC-000271,Calibration Certificate - Process Unit 68 - Rev A,DT-CALCERT,1,As-Built,CFIHOS-00000010
DOC-000272,Instrument Loop Diagram - Process Unit 68 - Rev 2,DT-LOOPDIAG,1,Approved for Construction,CFIHOS-00000010
DOC-000273,Single Line Diagram - Tank Farm 69 - Rev 0,DT-SLD,C,Approved for Construction,CFIHOS-00000010
DOC-000274,Risk Assessment Report - Tank Farm 69 - Rev B,DT-RISKREPORT,2,Issued for Review,CFIHOS-00000010
DOC-000275,Piping Isometric - Tank Farm 69 - Rev 2,DT-ISOMETRIC,B,Superseded,CFIHOS-00000010
DOC-000276,Equipment Datasheet - Tank Farm 69 - Rev 0,DT-DATASHEET,1,Superseded,CFIHOS-00000010
DOC-000277,Network Architecture Diagram - Tank Farm 69 - Rev 1,DT-NETARCH,1,Superseded,CFIHOS-00000010
DOC-000278,Calibration Certificate - Utilities Area 70 - Rev 2,DT-CALCERT,1,Approved for Construction,CFIHOS-00000010
DOC-000279,Single Line Diagram - Utilities Area 70 - Rev 2,DT-SLD,2,Issued for Review,CFIHOS-00000010
DOC-000280,P&ID - Utilities Area 70 - Rev 1,DT-PID,2,Superseded,CFIHOS-00000010
DOC-000281,Equipment Datasheet - Power Generation 71 - Rev A,DT-DATASHEET,A,Issued for Review,CFIHOS-00000010
DOC-000282,Single Line Diagram - Power Generation 71 - Rev 0,DT-SLD,C,Superseded,CFIHOS-00000010
DOC-000283,Instrument Loop Diagram - Power Generation 71 - Rev C,DT-LOOPDIAG,A,Superseded,CFIHOS-00000010
DOC-000284,Piping Isometric - Power Generation 71 - Rev 0,DT-ISOMETRIC,A,Approved for Construction,CFIHOS-00000010
DOC-000285,Piping Isometric - Process Unit 72 - Rev C,DT-ISOMETRIC,0,As-Built,CFIHOS-00000010
DOC-000286,Risk Assessment Report - Process Unit 72 - Rev C,DT-RISKREPORT,0,Approved for Construction,CFIHOS-00000010
DOC-000287,Risk Assessment Report - Process Unit 72 - Rev C,DT-RISKREPORT,A,Issued for Review,CFIHOS-00000010
DOC-000288,Equipment Datasheet - Process Unit 72 - Rev A,DT-DATASHEET,C,Approved for Construction,CFIHOS-00000010
DOC-000289,Single Line Diagram - Process Unit 73 - Rev 1,DT-SLD,B,As-Built,CFIHOS-00000010
DOC-000290,Network Architecture Diagram - Process Unit 73 - Rev 0,DT-NETARCH,B,Superseded,CFIHOS-00000010
DOC-000291,Instrument Loop Diagram - Process Unit 73 - Rev 2,DT-LOOPDIAG,2,Superseded,CFIHOS-00000010
DOC-000292,P&ID - Process Unit 73 - Rev 2,DT-PID,1,As-Built,CFIHOS-00000010
DOC-000293,Network Architecture Diagram - Process Unit 73 - Rev 0,DT-NETARCH,A,As-Built,CFIHOS-00000010
DOC-000294,Equipment Datasheet - Utilities Area 74 - Rev 1,DT-DATASHEET,A,As-Built,CFIHOS-00000010
DOC-000295,Calibration Certificate - Utilities Area 74 - Rev B,DT-CALCERT,0,Approved for Construction,CFIHOS-00000010
DOC-000296,Risk Assessment Report - Utilities Area 74 - Rev 1,DT-RISKREPORT,2,Issued for Review,CFIHOS-00000010
DOC-000297,Network Architecture Diagram - Utilities Area 74 - Rev 1,DT-NETARCH,0,Approved for Construction,CFIHOS-00000010
DOC-000298,Risk Assessment Report - Offsite Pipeline Corridor 75 - Rev 1,DT-RISKREPORT,B,Issued for Review,CFIHOS-00000010
DOC-000299,Equipment Datasheet - Offsite Pipeline Corridor 75 - Rev 2,DT-DATASHEET,B,Issued for Review,CFIHOS-00000010
DOC-000300,Single Line Diagram - Offsite Pipeline Corridor 75 - Rev C,DT-SLD,A,As-Built,CFIHOS-00000010
DOC-000301,Instrument Loop Diagram - Offsite Pipeline Corridor 75 - Rev 1,DT-LOOPDIAG,0,Superseded,CFIHOS-00000010
DOC-000302,Network Architecture Diagram - Utilities Area 76 - Rev 0,DT-NETARCH,B,Superseded,CFIHOS-00000010
DOC-000303,Instrument Loop Diagram - Utilities Area 76 - Rev 1,DT-LOOPDIAG,B,Superseded,CFIHOS-00000010
DOC-000304,Instrument Loop Diagram - Utilities Area 76 - Rev B,DT-LOOPDIAG,C,Superseded,CFIHOS-00000010
DOC-000305,Calibration Certificate - Power Generation 77 - Rev A,DT-CALCERT,0,As-Built,CFIHOS-00000010
DOC-000306,Network Architecture Diagram - Power Generation 77 - Rev 1,DT-NETARCH,1,Superseded,CFIHOS-00000010
DOC-000307,Risk Assessment Report - Power Generation 77 - Rev 0,DT-RISKREPORT,2,Superseded,CFIHOS-00000010
DOC-000308,Equipment Datasheet - Utilities Area 78 - Rev 1,DT-DATASHEET,A,As-Built,CFIHOS-00000010
DOC-000309,P&ID - Utilities Area 78 - Rev C,DT-PID,B,Issued for Review,CFIHOS-00000010
DOC-000310,Risk Assessment Report - Utilities Area 78 - Rev 1,DT-RISKREPORT,2,Superseded,CFIHOS-00000010
DOC-000311,Equipment Datasheet - Utilities Area 79 - Rev 1,DT-DATASHEET,A,Issued for Review,CFIHOS-00000010
DOC-000312,Calibration Certificate - Utilities Area 79 - Rev 1,DT-CALCERT,A,Superseded,CFIHOS-00000010
DOC-000313,Single Line Diagram - Utilities Area 79 - Rev 0,DT-SLD,A,As-Built,CFIHOS-00000010
DOC-000314,P&ID - Utilities Area 79 - Rev 0,DT-PID,C,Issued for Review,CFIHOS-00000010
DOC-000315,Risk Assessment Report - Utilities Area 79 - Rev A,DT-RISKREPORT,B,As-Built,CFIHOS-00000010
DOC-000316,Calibration Certificate - Offsite Pipeline Corridor 80 - Rev 2,DT-CALCERT,1,Superseded,CFIHOS-00000010
DOC-000317,Instrument Loop Diagram - Offsite Pipeline Corridor 80 - Rev B,DT-LOOPDIAG,B,Approved for Construction,CFIHOS-00000010
DOC-000318,Calibration Certificate - Offsite Pipeline Corridor 80 - Rev 1,DT-CALCERT,C,As-Built,CFIHOS-00000010
DOC-000319,Piping Isometric - Offsite Pipeline Corridor 80 - Rev C,DT-ISOMETRIC,1,Issued for Review,CFIHOS-00000010
DOC-000320,Equipment Datasheet - Offsite Pipeline Corridor 80 - Rev B,DT-DATASHEET,0,Approved for Construction,CFIHOS-00000010
DOC-000321,Instrument Loop Diagram - Offsite Pipeline Corridor 81 - Rev 2,DT-LOOPDIAG,B,As-Built,CFIHOS-00000010
DOC-000322,Calibration Certificate - Offsite Pipeline Corridor 81 - Rev B,DT-CALCERT,2,Superseded,CFIHOS-00000010
DOC-000323,Instrument Loop Diagram - Offsite Pipeline Corridor 81 - Rev 1,DT-LOOPDIAG,2,Issued for Review,CFIHOS-00000010
DOC-000324,Network Architecture Diagram - Offsite Pipeline Corridor 81 - Rev 0,DT-NETARCH,A,Approved for Construction,CFIHOS-00000010
DOC-000325,Piping Isometric - Offsite Pipeline Corridor 81 - Rev 2,DT-ISOMETRIC,C,Superseded,CFIHOS-00000010
DOC-000326,P&ID - Offsite Pipeline Corridor 82 - Rev 2,DT-PID,A,Superseded,CFIHOS-00000010
DOC-000327,Equipment Datasheet - Offsite Pipeline Corridor 82 - Rev 1,DT-DATASHEET,0,As-Built,CFIHOS-00000010
DOC-000328,Single Line Diagram - Offsite Pipeline Corridor 82 - Rev 0,DT-SLD,C,Issued for Review,CFIHOS-00000010
DOC-000329,Calibration Certificate - Offsite Pipeline Corridor 82 - Rev 1,DT-CALCERT,1,As-Built,CFIHOS-00000010
DOC-000330,Calibration Certificate - Utilities Area 83 - Rev 2,DT-CALCERT,A,Approved for Construction,CFIHOS-00000010
DOC-000331,Risk Assessment Report - Utilities Area 83 - Rev A,DT-RISKREPORT,A,As-Built,CFIHOS-00000010
DOC-000332,Risk Assessment Report - Utilities Area 83 - Rev A,DT-RISKREPORT,0,As-Built,CFIHOS-00000010
DOC-000333,Piping Isometric - Utilities Area 83 - Rev B,DT-ISOMETRIC,C,Approved for Construction,CFIHOS-00000010
DOC-000334,Equipment Datasheet - Process Unit 84 - Rev C,DT-DATASHEET,2,As-Built,CFIHOS-00000010
DOC-000335,Network Architecture Diagram - Process Unit 84 - Rev 2,DT-NETARCH,C,As-Built,CFIHOS-00000010
DOC-000336,Equipment Datasheet - Process Unit 84 - Rev 2,DT-DATASHEET,A,Approved for Construction,CFIHOS-00000010
DOC-000337,Risk Assessment Report - Process Unit 84 - Rev A,DT-RISKREPORT,B,As-Built,CFIHOS-00000010
DOC-000338,Risk Assessment Report - Process Unit 85 - Rev A,DT-RISKREPORT,A,Issued for Review,CFIHOS-00000010
DOC-000339,Network Architecture Diagram - Process Unit 85 - Rev 2,DT-NETARCH,B,Superseded,CFIHOS-00000010
DOC-000340,Single Line Diagram - Process Unit 85 - Rev 0,DT-SLD,A,Approved for Construction,CFIHOS-00000010
DOC-000341,Calibration Certificate - Process Unit 85 - Rev C,DT-CALCERT,C,As-Built,CFIHOS-00000010
DOC-000342,Instrument Loop Diagram - Process Unit 85 - Rev 2,DT-LOOPDIAG,2,As-Built,CFIHOS-00000010
DOC-000343,P&ID - Power Generation 86 - Rev 1,DT-PID,2,As-Built,CFIHOS-00000010
DOC-000344,Calibration Certificate - Power Generation 86 - Rev 2,DT-CALCERT,B,As-Built,CFIHOS-00000010
DOC-000345,Risk Assessment Report - Power Generation 86 - Rev B,DT-RISKREPORT,A,Approved for Construction,CFIHOS-00000010
DOC-000346,Equipment Datasheet - Power Generation 86 - Rev 1,DT-DATASHEET,2,Superseded,CFIHOS-00000010
DOC-000347,Network Architecture Diagram - Power Generation 86 - Rev C,DT-NETARCH,B,As-Built,CFIHOS-00000010
DOC-000348,Equipment Datasheet - Utilities Area 87 - Rev B,DT-DATASHEET,1,Issued for Review,CFIHOS-00000010
DOC-000349,Piping Isometric - Utilities Area 87 - Rev B,DT-ISOMETRIC,1,As-Built,CFIHOS-00000010
DOC-000350,Piping Isometric - Utilities Area 87 - Rev 2,DT-ISOMETRIC,A,As-Built,CFIHOS-00000010
DOC-000351,Network Architecture Diagram - Utilities Area 87 - Rev A,DT-NETARCH,B,Superseded,CFIHOS-00000010
DOC-000352,Equipment Datasheet - Utilities Area 87 - Rev 1,DT-DATASHEET,A,Issued for Review,CFIHOS-00000010
DOC-000353,Network Architecture Diagram - Process Unit 88 - Rev 1,DT-NETARCH,0,Issued for Review,CFIHOS-00000010
DOC-000354,Instrument Loop Diagram - Process Unit 88 - Rev 0,DT-LOOPDIAG,A,Approved for Construction,CFIHOS-00000010
DOC-000355,Equipment Datasheet - Process Unit 88 - Rev A,DT-DATASHEET,C,As-Built,CFIHOS-00000010
DOC-000356,Network Architecture Diagram - Utilities Area 89 - Rev 1,DT-NETARCH,C,Superseded,CFIHOS-00000010
DOC-000357,Network Architecture Diagram - Utilities Area 89 - Rev A,DT-NETARCH,2,As-Built,CFIHOS-00000010
DOC-000358,Equipment Datasheet - Utilities Area 89 - Rev C,DT-DATASHEET,A,As-Built,CFIHOS-00000010
DOC-000359,Calibration Certificate - Process Unit 90 - Rev 0,DT-CALCERT,1,Approved for Construction,CFIHOS-00000010
DOC-000360,Network Architecture Diagram - Process Unit 90 - Rev 2,DT-NETARCH,B,Approved for Construction,CFIHOS-00000010
DOC-000361,Equipment Datasheet - Process Unit 90 - Rev 0,DT-DATASHEET,A,Superseded,CFIHOS-00000010
DOC-000362,P&ID - Process Unit 90 - Rev C,DT-PID,2,As-Built,CFIHOS-00000010
DOC-000363,P&ID - Process Unit 90 - Rev 2,DT-PID,B,Approved for Construction,CFIHOS-00000010
DOC-000364,Calibration Certificate - Process Unit 91 - Rev 1,DT-CALCERT,1,Issued for Review,CFIHOS-00000010
DOC-000365,Calibration Certificate - Process Unit 91 - Rev B,DT-CALCERT,2,Issued for Review,CFIHOS-00000010
DOC-000366,P&ID - Process Unit 91 - Rev C,DT-PID,0,Issued for Review,CFIHOS-00000010
DOC-000367,Equipment Datasheet - Process Unit 91 - Rev C,DT-DATASHEET,2,Approved for Construction,CFIHOS-00000010
DOC-000368,Calibration Certificate - Utilities Area 92 - Rev A,DT-CALCERT,0,As-Built,CFIHOS-00000010
DOC-000369,Instrument Loop Diagram - Utilities Area 92 - Rev C,DT-LOOPDIAG,A,Approved for Construction,CFIHOS-00000010
DOC-000370,P&ID - Utilities Area 92 - Rev A,DT-PID,A,As-Built,CFIHOS-00000010
DOC-000371,Risk Assessment Report - Utilities Area 92 - Rev C,DT-RISKREPORT,0,As-Built,CFIHOS-00000010
DOC-000372,Network Architecture Diagram - Offsite Pipeline Corridor 93 - Rev B,DT-NETARCH,C,As-Built,CFIHOS-00000010
DOC-000373,Calibration Certificate - Offsite Pipeline Corridor 93 - Rev C,DT-CALCERT,A,Issued for Review,CFIHOS-00000010
DOC-000374,P&ID - Offsite Pipeline Corridor 93 - Rev B,DT-PID,B,Approved for Construction,CFIHOS-00000010
DOC-000375,Risk Assessment Report - Power Generation 94 - Rev C,DT-RISKREPORT,C,Issued for Review,CFIHOS-00000010
DOC-000376,Risk Assessment Report - Power Generation 94 - Rev A,DT-RISKREPORT,C,As-Built,CFIHOS-00000010
DOC-000377,Piping Isometric - Power Generation 94 - Rev 2,DT-ISOMETRIC,1,As-Built,CFIHOS-00000010
DOC-000378,Risk Assessment Report - Power Generation 95 - Rev B,DT-RISKREPORT,2,As-Built,CFIHOS-00000010
DOC-000379,P&ID - Power Generation 95 - Rev 0,DT-PID,A,As-Built,CFIHOS-00000010
DOC-000380,Calibration Certificate - Power Generation 95 - Rev 2,DT-CALCERT,2,Approved for Construction,CFIHOS-00000010
DOC-000381,P&ID - Power Generation 95 - Rev 2,DT-PID,0,Issued for Review,CFIHOS-00000010
DOC-000382,Single Line Diagram - Offsite Pipeline Corridor 96 - Rev 0,DT-SLD,0,Approved for Construction,CFIHOS-00000010
DOC-000383,Piping Isometric - Offsite Pipeline Corridor 96 - Rev A,DT-ISOMETRIC,A,As-Built,CFIHOS-00000010
DOC-000384,Network Architecture Diagram - Offsite Pipeline Corridor 96 - Rev 2,DT-NETARCH,C,Superseded,CFIHOS-00000010
