itemId,name,failureModeClass,cfihosId
MI-001144,PT-17776 - Primary Maintainable Component,Erratic Output,CFIHOS-00000089
MI-001145,K-11490 - Primary Maintainable Component,Leakage,CFIHOS-00000089
MI-001146,PSV-4450 - Primary Maintainable Component,Bearing Failure,CFIHOS-00000089
MI-001147,P-15917 - Primary Maintainable Component,Failure to Open/Close,CFIHOS-00000089
MI-001148,LT-25003 - Primary Maintainable Component,Bearing Failure,CFIHOS-00000089
MI-001149,COL-26097 - Primary Maintainable Component,Bearing Failure,CFIHOS-00000089
MI-001150,V-292 - Primary Maintainable Component,Bearing Failure,CFIHOS-00000089
MI-001151,FT-5472 - Primary Maintainable Component,Erratic Output,CFIHOS-00000089
MI-001152,K-30648 - Primary Maintainable Component,Leakage,CFIHOS-00000089
MI-001153,XV-26869 - Primary Maintainable Component,Loss of Containment,CFIHOS-00000089
MI-001154,XV-22972 - Primary Maintainable Component,Loss of Containment,CFIHOS-00000089
MI-001155,P-36477 - Primary Maintainable Component,Loss of Containment,CFIHOS-00000089
MI-001156,K-39268 - Primary Maintainable Component,Loss of Containment,CFIHOS-00000089
MI-001157,PSV-29536 - Primary Maintainable Component,Bearing Failure,CFIHOS-00000089
MI-001158,LT-32598 - Primary Maintainable Component,Failure to Open/Close,CFIHOS-00000089
MI-001159,V-34807 - Primary Maintainable Component,Loss of Calibration,CFIHOS-00000089
MI-001160,LT-13292 - Primary Maintainable Component,Loss of Containment,CFIHOS-00000089
MI-001161,P-18879 - Primary Maintainable Component,Leakage,CFIHOS-00000089
MI-001162,P-23978 - Primary Maintainable Component,Erratic Output,CFIHOS-00000089
MI-001163,P-22004 - Primary Maintainable Component,Failure to Open/Close,CFIHOS-00000089
MI-001164,PT-18009 - Primary Maintainable Component,Leakage,CFIHOS-00000089
MI-001165,FCV-17250 - Primary Maintainable Component,Erratic Output,CFIHOS-00000089
MI-001166,XV-36309 - Primary Maintainable Component,Failure to Open/Close,CFIHOS-00000089
MI-001167,COL-38277 - Primary Maintainable Component,Leakage,CFIHOS-00000089
MI-001168,PT-16244 - Primary Maintainable Component,Erratic Output,CFIHOS-00000089
MI-001169,V-5195 - Primary Maintainable Component,Loss of Containment,CFIHOS-00000089
MI-001170,PT-4686 - Primary Maintainable Component,Bearing Failure,CFIHOS-00000089
MI-001171,K-15455 - Primary Maintainable Component,Loss of Calibration,CFIHOS-00000089
MI-001172,COL-6108 - Primary Maintainable Component,Loss of Containment,CFIHOS-00000089
MI-001173,K-339 - Primary Maintainable Component,Leakage,CFIHOS-00000089
MI-001174,PSV-29038 - Primary Maintainable Component,Bearing Failure,CFIHOS-00000089
MI-001175,PT-3192 - Primary Maintainable Component,Loss of Containment,CFIHOS-00000089
MI-001176,V-13311 - Primary Maintainable Component,Leakage,CFIHOS-00000089
MI-001177,PSV-34485 - Primary Maintainable Component,Leakage,CFIHOS-00000089
MI-001178,V-19080 - Primary Maintainable Component,Failure to Open/Close,CFIHOS-00000089
MI-001179,P-3769 - Primary Maintainable Component,Loss of Calibration,CFIHOS-00000089
MI-001180,LT-30875 - Primary Maintainable Component,Erratic Output,CFIHOS-00000089
MI-001181,K-27135 - Primary Maintainable Component,Loss of Containment,CFIHOS-00000089
MI-001182,E-13329 - Primary Maintainable Component,Loss of Containment,CFIHOS-00000089
MI-001183,TT-26486 - Primary Maintainable Component,Loss of Containment,CFIHOS-00000089
MI-001184,K-19567 - Primary Maintainable Component,Loss of Calibration,CFIHOS-00000089
MI-001185,V-7547 - Primary Maintainable Component,Erratic Output,CFIHOS-00000089
MI-001186,P-8702 - Primary Maintainable Component,Bearing Failure,CFIHOS-00000089
MI-001187,P-2430 - Primary Maintainable Component,Loss of Containment,CFIHOS-00000089
MI-001188,P-27242 - Primary Maintainable Component,Leakage,CFIHOS-00000089
MI-001189,V-29703 - Primary Maintainable Component,Erratic Output,CFIHOS-00000089
MI-001190,V-29399 - Primary Maintainable Component,Bearing Failure,CFIHOS-00000089
MI-001191,TT-1678 - Primary Maintainable Component,Erratic Output,CFIHOS-00000089
MI-001192,K-22560 - Primary Maintainable Component,Erratic Output,CFIHOS-00000089
MI-001193,COL-31722 - Primary Maintainable Component,Failure to Open/Close,CFIHOS-00000089
MI-001194,V-34424 - Primary Maintainable Component,Bearing Failure,CFIHOS-00000089
MI-001195,V-12605 - Primary Maintainable Component,Bearing Failure,CFIHOS-00000089
MI-001196,FT-14349 - Primary Maintainable Component,Bearing Failure,CFIHOS-00000089
MI-001197,E-39568 - Primary Maintainable Component,Loss of Containment,CFIHOS-00000089
MI-001198,PSV-2993 - Primary Maintainable Component,Loss of Calibration,CFIHOS-00000089
MI-001199,K-12557 - Primary Maintainable Component,Leakage,CFIHOS-00000089
MI-001200,FCV-14497 - Primary Maintainable Component,Loss of Calibration,CFIHOS-00000089
MI-001201,PSV-31248 - Primary Maintainable Component,Loss of Containment,CFIHOS-00000089
MI-001202,PT-8671 - Primary Maintainable Component,Failure to Open/Close,CFIHOS-00000089
MI-001203,PSV-27555 - Primary Maintainable Component,Loss of Containment,CFIHOS-00000089
MI-001204,E-37832 - Primary Maintainable Component,Erratic Output,CFIHOS-00000089
MI-001205,XV-9149 - Primary Maintainable Component,Failure to Open/Close,CFIHOS-00000089
MI-001206,TT-17171 - Primary Maintainable Component,Loss of Calibration,CFIHOS-00000089
MI-001207,XV-29021 - Primary Maintainable Component,Loss of Containment,CFIHOS-00000089
MI-001208,E-23469 - Primary Maintainable Component,Loss of Containment,CFIHOS-00000089
MI-001209,P-12740 - Primary Maintainable Component,Bearing Failure,CFIHOS-00000089
MI-001210,P-13938 - Primary Maintainable Component,Leakage,CFIHOS-00000089
MI-001211,TT-17413 - Primary Maintainable Component,Failure to Open/Close,CFIHOS-00000089
MI-001212,E-17331 - Primary Maintainable Component,Erratic Output,CFIHOS-00000089
MI-001213,FCV-8240 - Primary Maintainable Component,Erratic Output,CFIHOS-00000089
MI-001214,P-2121 - Primary Maintainable Component,Loss of Calibration,CFIHOS-00000089
MI-001215,K-33460 - Primary Maintainable Component,Bearing Failure,CFIHOS-00000089
MI-001216,PT-13009 - Primary Maintainable Component,Bearing Failure,CFIHOS-00000089
MI-001217,P-36823 - Primary Maintainable Component,Loss of Calibration,CFIHOS-00000089
MI-001218,P-1618 - Primary Maintainable Component,Bearing Failure,CFIHOS-00000089
MI-001219,COL-37801 - Primary Maintainable Component,Failure to Open/Close,CFIHOS-00000089
MI-001220,LT-15248 - Primary Maintainable Component,Failure to Open/Close,CFIHOS-00000089
MI-001221,LT-17710 - Primary Maintainable Component,Leakage,CFIHOS-00000089
MI-001222,P-36820 - Primary Maintainable Component,Erratic Output,CFIHOS-00000089
MI-001223,COL-8927 - Primary Maintainable Component,Loss of Containment,CFIHOS-00000089
MI-001224,K-31688 - Primary Maintainable Component,Erratic Output,CFIHOS-00000089
MI-001225,P-32731 - Primary Maintainable Component,Erratic Output,CFIHOS-00000089
MI-001226,PT-20827 - Primary Maintainable Component,Erratic Output,CFIHOS-00000089
MI-001227,PSV-18290 - Primary Maintainable Component,Leakage,CFIHOS-00000089
MI-001228,LT-15301 - Primary Maintainable Component,Leakage,CFIHOS-00000089
MI-001229,V-28962 - Primary Maintainable Component,Leakage,CFIHOS-00000089
MI-001230,K-38241 - Primary Maintainable Component,Bearing Failure,CFIHOS-00000089
MI-001231,PSV-30430 - Primary Maintainable Component,Failure to Open/Close,CFIHOS-00000089
MI-001232,P-21521 - Primary Maintainable Component,Leakage,CFIHOS-00000089
MI-001233,LT-19522 - Primary Maintainable Component,Erratic Output,CFIHOS-00000089
MI-001234,E-6422 - Primary Maintainable Component,Erratic Output,CFIHOS-00000089
MI-001235,XV-39937 - Primary Maintainable Component,Loss of Containment,CFIHOS-00000089
MI-001236,P-20877 - Primary Maintainable Component,Leakage,CFIHOS-00000089
MI-001237,XV-6316 - Primary Maintainable Component,Failure to Open/Close,CFIHOS-00000089
MI-001238,K-11719 - Primary Maintainable Component,Erratic Output,CFIHOS-00000089
MI-001239,P-17727 - Primary Maintainable Component,Failure to Open/Close,CFIHOS-00000089
MI-001240,P-31147 - Primary Maintainable Component,Erratic Output,CFIHOS-00000089
MI-001241,E-27586 - Primary Maintainable Component,Loss of Containment,CFIHOS-00000089
MI-001242,PT-24401 - Primary Maintainable Component,Bearing Failure,CFIHOS-00000089
MI-001243,V-9689 - Primary Maintainable Component,Bearing Failure,CFIHOS-00000089
MI-001244,V-7616 - Primary Maintainable Component,Leakage,CFIHOS-00000089
MI-001245,COL-1585 - Primary Maintainable Component,Bearing Failure,CFIHOS-00000089
MI-001246,XV-21576 - Primary Maintainable Component,Failure to Open/Close,CFIHOS-00000089
MI-001247,LT-28112 - Primary Maintainable Component,Loss of Containment,CFIHOS-00000089
MI-001248,K-37972 - Primary Maintainable Component,Failure to Open/Close,CFIHOS-00000089
MI-001249,PSV-32673 - Primary Maintainable Component,Failure to Open/Close,CFIHOS-00000089
MI-001250,FCV-31761 - Primary Maintainable Component,Erratic Output,CFIHOS-00000089
MI-001251,FT-19726 - Primary Maintainable Component,Bearing Failure,CFIHOS-00000089
MI-001252,FCV-26500 - Primary Maintainable Component,Loss of Calibration,CFIHOS-00000089
MI-001253,TT-29469 - Primary Maintainable Component,Failure to Open/Close,CFIHOS-00000089
MI-001254,FT-9114 - Primary Maintainable Component,Leakage,CFIHOS-00000089
MI-001255,P-5353 - Primary Maintainable Component,Erratic Output,CFIHOS-00000089
MI-001256,TT-32928 - Primary Maintainable Component,Loss of Containment,CFIHOS-00000089
MI-001257,FT-11185 - Primary Maintainable Component,Erratic Output,CFIHOS-00000089
MI-001258,LT-11741 - Primary Maintainable Component,Bearing Failure,CFIHOS-00000089
MI-001259,P-7876 - Primary Maintainable Component,Failure to Open/Close,CFIHOS-00000089
MI-001260,PT-18115 - Primary Maintainable Component,Leakage,CFIHOS-00000089
MI-001261,E-1372 - Primary Maintainable Component,Failure to Open/Close,CFIHOS-00000089
MI-001262,P-34607 - Primary Maintainable Component,Erratic Output,CFIHOS-00000089
MI-001263,FT-11534 - Primary Maintainable Component,Loss of Containment,CFIHOS-00000089
MI-001264,K-31274 - Primary Maintainable Component,Loss of Containment,CFIHOS-00000089
MI-001265,P-1640 - Primary Maintainable Component,Loss of Calibration,CFIHOS-00000089
MI-001266,COL-23424 - Primary Maintainable Component,Leakage,CFIHOS-00000089
MI-001267,FCV-28598 - Primary Maintainable Component,Failure to Open/Close,CFIHOS-00000089
MI-001268,P-35218 - Primary Maintainable Component,Erratic Output,CFIHOS-00000089
MI-001269,P-27030 - Primary Maintainable Component,Failure to Open/Close,CFIHOS-00000089
MI-001270,PT-31749 - Primary Maintainable Component,Erratic Output,CFIHOS-00000089
MI-001271,V-7992 - Primary Maintainable Component,Failure to Open/Close,CFIHOS-00000089
MI-001272,XV-11014 - Primary Maintainable Component,Bearing Failure,CFIHOS-00000089
MI-001273,V-21487 - Primary Maintainable Component,Loss of Containment,CFIHOS-00000089
MI-001274,V-4885 - Primary Maintainable Component,Loss of Containment,CFIHOS-00000089
MI-001275,P-15022 - Primary Maintainable Component,Erratic Output,CFIHOS-00000089
MI-001276,P-16739 - Primary Maintainable Component,Loss of Containment,CFIHOS-00000089
MI-001277,XV-6759 - Primary Maintainable Component,Bearing Failure,CFIHOS-00000089
MI-001278,P-37411 - Primary Maintainable Component,Bearing Failure,CFIHOS-00000089
MI-001279,PT-35502 - Primary Maintainable Component,Bearing Failure,CFIHOS-00000089
MI-001280,P-5356 - Primary Maintainable Component,Loss of Calibration,CFIHOS-00000089
MI-001281,PT-2267 - Primary Maintainable Component,Erratic Output,CFIHOS-00000089
MI-001282,E-27741 - Primary Maintainable Component,Erratic Output,CFIHOS-00000089
MI-001283,P-38776 - Primary Maintainable Component,Erratic Output,CFIHOS-00000089
MI-001284,PSV-21007 - Primary Maintainable Component,Failure to Open/Close,CFIHOS-00000089
MI-001285,PSV-27402 - Primary Maintainable Component,Erratic Output,CFIHOS-00000089
MI-001286,XV-19211 - Primary Maintainable Component,Bearing Failure,CFIHOS-00000089
MI-001287,FCV-1629 - Primary Maintainable Component,Failure to Open/Close,CFIHOS-00000089
MI-001288,XV-9380 - Primary Maintainable Component,Loss of Calibration,CFIHOS-00000089
MI-001289,P-23341 - Primary Maintainable Component,Erratic Output,CFIHOS-00000089
MI-001290,COL-37312 - Primary Maintainable Component,Loss of Calibration,CFIHOS-00000089
MI-001291,PT-1149 - Primary Maintainable Component,Erratic Output,CFIHOS-00000089
MI-001292,P-8025 - Primary Maintainable Component,Failure to Open/Close,CFIHOS-00000089
MI-001293,P-5812 - Primary Maintainable Component,Bearing Failure,CFIHOS-00000089
MI-001294,COL-28365 - Primary Maintainable Component,Loss of Calibration,CFIHOS-00000089
MI-001295,PSV-26585 - Primary Maintainable Component,Bearing Failure,CFIHOS-00000089
MI-001296,PSV-20281 - Primary Maintainable Component,Loss of Containment,CFIHOS-00000089
MI-001297,P-11210 - Primary Maintainable Component,Erratic Output,CFIHOS-00000089
MI-001298,XV-22843 - Primary Maintainable Component,Loss of Calibration,CFIHOS-00000089
MI-001299,COL-34820 - Primary Maintainable Component,Failure to Open/Close,CFIHOS-00000089
MI-001300,COL-7929 - Primary Maintainable Component,Loss of Containment,CFIHOS-00000089
MI-001301,FCV-4659 - Primary Maintainable Component,Loss of Containment,CFIHOS-00000089
MI-001302,FCV-11072 - Primary Maintainable Component,Bearing Failure,CFIHOS-00000089
MI-001303,E-15373 - Primary Maintainable Component,Loss of Containment,CFIHOS-00000089
MI-001304,P-21976 - Primary Maintainable Component,Failure to Open/Close,CFIHOS-00000089
MI-001305,PT-17778 - Primary Maintainable Component,Loss of Calibration,CFIHOS-00000089
MI-001306,P-29788 - Primary Maintainable Component,Bearing Failure,CFIHOS-00000089
MI-001307,XV-16879 - Primary Maintainable Component,Leakage,CFIHOS-00000089
MI-001308,FT-10606 - Primary Maintainable Component,Failure to Open/Close,CFIHOS-00000089
MI-001309,XV-1166 - Primary Maintainable Component,Leakage,CFIHOS-00000089
MI-001310,COL-10980 - Primary Maintainable Component,Loss of Calibration,CFIHOS-00000089
MI-001311,PSV-323 - Primary Maintainable Component,Loss of Containment,CFIHOS-00000089
MI-001312,XV-21931 - Primary Maintainable Component,Bearing Failure,CFIHOS-00000089
MI-001313,TT-10172 - Primary Maintainable Component,Loss of Containment,CFIHOS-00000089
MI-001314,PT-7713 - Primary Maintainable Component,Failure to Open/Close,CFIHOS-00000089
MI-001315,COL-37096 - Primary Maintainable Component,Loss of Calibration,CFIHOS-00000089
MI-001316,P-16783 - Primary Maintainable Component,Loss of Calibration,CFIHOS-00000089
MI-001317,FCV-6188 - Primary Maintainable Component,Loss of Containment,CFIHOS-00000089
MI-001318,V-17537 - Primary Maintainable Component,Loss of Containment,CFIHOS-00000089
MI-001319,FCV-20139 - Primary Maintainable Component,Leakage,CFIHOS-00000089
MI-001320,K-35865 - Primary Maintainable Component,Loss of Calibration,CFIHOS-00000089
MI-001321,COL-9631 - Primary Maintainable Component,Loss of Calibration,CFIHOS-00000089
MI-001322,FCV-39969 - Primary Maintainable Component,Erratic Output,CFIHOS-00000089
MI-001323,LT-30890 - Primary Maintainable Component,Loss of Calibration,CFIHOS-00000089
MI-001324,XV-38503 - Primary Maintainable Component,Loss of Containment,CFIHOS-00000089
MI-001325,P-17400 - Primary Maintainable Component,Bearing Failure,CFIHOS-00000089
MI-001326,FCV-11772 - Primary Maintainable Component,Bearing Failure,CFIHOS-00000089
MI-001327,FT-34748 - Primary Maintainable Component,Bearing Failure,CFIHOS-00000089
MI-001328,COL-19651 - Primary Maintainable Component,Loss of Calibration,CFIHOS-00000089
MI-001329,E-2270 - Primary Maintainable Component,Failure to Open/Close,CFIHOS-00000089
MI-001330,PT-26488 - Primary Maintainable Component,Erratic Output,CFIHOS-00000089
MI-001331,COL-33217 - Primary Maintainable Component,Erratic Output,CFIHOS-00000089
MI-001332,E-10821 - Primary Maintainable Component,Leakage,CFIHOS-00000089
MI-001333,PSV-35902 - Primary Maintainable Component,Leakage,CFIHOS-00000089
MI-001334,P-22433 - Primary Maintainable Component,Loss of Calibration,CFIHOS-00000089
MI-001335,FT-5021 - Primary Maintainable Component,Leakage,CFIHOS-00000089
MI-001336,V-34866 - Primary Maintainable Component,Erratic Output,CFIHOS-00000089
MI-001337,P-23141 - Primary Maintainable Component,Failure to Open/Close,CFIHOS-00000089
MI-001338,FCV-19576 - Primary Maintainable Component,Loss of Calibration,CFIHOS-00000089
MI-001339,XV-8687 - Primary Maintainable Component,Erratic Output,CFIHOS-00000089
MI-001340,TT-26855 - Primary Maintainable Component,Loss of Calibration,CFIHOS-00000089
MI-001341,K-3663 - Primary Maintainable Component,Leakage,CFIHOS-00000089
MI-001342,P-11643 - Primary Maintainable Component,Loss of Calibration,CFIHOS-00000089
MI-001343,PSV-10895 - Primary Maintainable Component,Leakage,CFIHOS-00000089
MI-001344,V-20348 - Primary Maintainable Component,Loss of Containment,CFIHOS-00000089
MI-001345,FT-13229 - Primary Maintainable Component,Leakage,CFIHOS-00000089
MI-001346,XV-63 - Primary Maintainable Component,Leakage,CFIHOS-00000089
MI-001347,COL-35037 - Primary Maintainable Component,Bearing Failure,CFIHOS-00000089
MI-001348,FT-23975 - Primary Maintainable Component,Loss of Containment,CFIHOS-00000089
MI-001349,TT-9300 - Primary Maintainable Component,Failure to Open/Close,CFIHOS-00000089
MI-001350,K-38357 - Primary Maintainable Component,Loss of Containment,CFIHOS-00000089
MI-001351,COL-38858 - Primary Maintainable Component,Erratic Output,CFIHOS-00000089
MI-001352,PSV-24369 - Primary Maintainable Component,Loss of Containment,CFIHOS-00000089
MI-001353,LT-12335 - Primary Maintainable Component,Erratic Output,CFIHOS-00000089
MI-001354,XV-1999 - Primary Maintainable Component,Leakage,CFIHOS-00000089
MI-001355,V-11309 - Primary Maintainable Component,Leakage,CFIHOS-00000089
MI-001356,LT-4648 - Primary Maintainable Component,Loss of Calibration,CFIHOS-00000089
MI-001357,COL-8749 - Primary Maintainable Component,Bearing Failure,CFIHOS-00000089
MI-001358,P-3119 - Primary Maintainable Component,Failure to Open/Close,CFIHOS-00000089
MI-001359,COL-32331 - Primary Maintainable Component,Bearing Failure,CFIHOS-00000089
MI-001360,PSV-446 - Primary Maintainable Component,Leakage,CFIHOS-00000089
MI-001361,K-11687 - Primary Maintainable Component,Bearing Failure,CFIHOS-00000089
MI-001362,PT-30163 - Primary Maintainable Component,Erratic Output,CFIHOS-00000089
MI-001363,P-13087 - Primary Maintainable Component,Bearing Failure,CFIHOS-00000089
MI-001364,P-30075 - Primary Maintainable Component,Leakage,CFIHOS-00000089
MI-001365,P-3636 - Primary Maintainable Component,Failure to Open/Close,CFIHOS-00000089
MI-001366,TT-26268 - Primary Maintainable Component,Bearing Failure,CFIHOS-00000089
MI-001367,E-9784 - Primary Maintainable Component,Loss of Containment,CFIHOS-00000089
MI-001368,P-28477 - Primary Maintainable Component,Loss of Calibration,CFIHOS-00000089
MI-001369,TT-19581 - Primary Maintainable Component,Leakage,CFIHOS-00000089
MI-001370,XV-21534 - Primary Maintainable Component,Erratic Output,CFIHOS-00000089
MI-001371,FT-14467 - Primary Maintainable Component,Leakage,CFIHOS-00000089
MI-001372,V-11193 - Primary Maintainable Component,Erratic Output,CFIHOS-00000089
MI-001373,COL-38859 - Primary Maintainable Component,Failure to Open/Close,CFIHOS-00000089
MI-001374,E-20485 - Primary Maintainable Component,Bearing Failure,CFIHOS-00000089
MI-001375,PSV-1423 - Primary Maintainable Component,Bearing Failure,CFIHOS-00000089
MI-001376,PSV-27587 - Primary Maintainable Component,Failure to Open/Close,CFIHOS-00000089
MI-001377,COL-1708 - Primary Maintainable Component,Erratic Output,CFIHOS-00000089
MI-001378,PT-34103 - Primary Maintainable Component,Erratic Output,CFIHOS-00000089
MI-001379,P-32549 - Primary Maintainable Component,Loss of Calibration,CFIHOS-00000089
MI-001380,P-10946 - Primary Maintainable Component,Loss of Calibration,CFIHOS-00000089
MI-001381,COL-27047 - Primary Maintainable Component,Erratic Output,CFIHOS-00000089
MI-001382,TT-27314 - Primary Maintainable Component,Loss of Containment,CFIHOS-00000089
MI-001383,P-12237 - Primary Maintainable Component,Leakage,CFIHOS-00000089
MI-001384,P-927 - Primary Maintainable Component,Failure to Open/Close,CFIHOS-00000089
MI-001385,XV-6305 - Primary Maintainable Component,Erratic Output,CFIHOS-00000089
MI-001386,E-18105 - Primary Maintainable Component,Loss of Containment,CFIHOS-00000089
MI-001387,K-18250 - Primary Maintainable Component,Loss of Calibration,CFIHOS-00000089
MI-001388,PSV-23636 - Primary Maintainable Component,Loss of Calibration,CFIHOS-00000089
MI-001389,PT-6810 - Primary Maintainable Component,Loss of Containment,CFIHOS-00000089
MI-001390,FCV-10438 - Primary Maintainable Component,Failure to Open/Close,CFIHOS-00000089
MI-001391,COL-7320 - Primary Maintainable Component,Failure to Open/Close,CFIHOS-00000089
MI-001392,TT-35328 - Primary Maintainable Component,Leakage,CFIHOS-00000089
MI-001393,PT-1959 - Primary Maintainable Component,Bearing Failure,CFIHOS-00000089
MI-001394,PSV-3428 - Primary Maintainable Component,Failure to Open/Close,CFIHOS-00000089
MI-001395,E-14014 - Primary Maintainable Component,Loss of Calibration,CFIHOS-00000089
MI-001396,V-3560 - Primary Maintainable Component,Erratic Output,CFIHOS-00000089
MI-001397,P-19351 - Primary Maintainable Component,Loss of Containment,CFIHOS-00000089
MI-001398,LT-7250 - Primary Maintainable Component,Bearing Failure,CFIHOS-00000089
MI-001399,P-39251 - Primary Maintainable Component,Erratic Output,CFIHOS-00000089
MI-001400,P-29723 - Primary Maintainable Component,Loss of Calibration,CFIHOS-00000089
MI-001401,LT-1164 - Primary Maintainable Component,Failure to Open/Close,CFIHOS-00000089
MI-001402,FCV-34706 - Primary Maintainable Component,Leakage,CFIHOS-00000089
MI-001403,XV-13930 - Primary Maintainable Component,Bearing Failure,CFIHOS-00000089
MI-001404,PSV-3798 - Primary Maintainable Component,Leakage,CFIHOS-00000089
MI-001405,PSV-3628 - Primary Maintainable Component,Erratic Output,CFIHOS-00000089
MI-001406,K-7481 - Primary Maintainable Component,Leakage,CFIHOS-00000089
MI-001407,P-32206 - Primary Maintainable Component,Loss of Containment,CFIHOS-00000089
MI-001408,P-28254 - Primary Maintainable Component,Bearing Failure,CFIHOS-00000089
MI-001409,FT-22919 - Primary Maintainable Component,Failure to Open/Close,CFIHOS-00000089
MI-001410,PSV-22518 - Primary Maintainable Component,Leakage,CFIHOS-00000089
MI-001411,PT-2142 - Primary Maintainable Component,Leakage,CFIHOS-00000089
MI-001412,FCV-27069 - Primary Maintainable Component,Loss of Calibration,CFIHOS-00000089
MI-001413,LT-27889 - Primary Maintainable Component,Failure to Open/Close,CFIHOS-00000089
MI-001414,P-34568 - Primary Maintainable Component,Failure to Open/Close,CFIHOS-00000089
MI-001415,COL-14295 - Primary Maintainable Component,Bearing Failure,CFIHOS-00000089
MI-001416,P-9616 - Primary Maintainable Component,Failure to Open/Close,CFIHOS-00000089
MI-001417,PT-21937 - Primary Maintainable Component,Loss of Containment,CFIHOS-00000089
MI-001418,K-26796 - Primary Maintainable Component,Leakage,CFIHOS-00000089
MI-001419,K-18550 - Primary Maintainable Component,Loss of Calibration,CFIHOS-00000089
MI-001420,P-39616 - Primary Maintainable Component,Loss of Calibration,CFIHOS-00000089
MI-001421,TT-26157 - Primary Maintainable Component,Leakage,CFIHOS-00000089
MI-001422,XV-29206 - Primary Maintainable Component,Loss of Calibration,CFIHOS-00000089
MI-001423,E-24103 - Primary Maintainable Component,Bearing Failure,CFIHOS-00000089
MI-001424,FT-22556 - Primary Maintainable Component,Loss of Containment,CFIHOS-00000089
MI-001425,PT-8547 - Primary Maintainable Component,Bearing Failure,CFIHOS-00000089
MI-001426,LT-38893 - Primary Maintainable Component,Leakage,CFIHOS-00000089
MI-001427,P-9829 - Primary Maintainable Component,Loss of Containment,CFIHOS-00000089
MI-001428,TT-23680 - Primary Maintainable Component,Erratic Output,CFIHOS-00000089
MI-001429,PT-14495 - Primary Maintainable Component,Bearing Failure,CFIHOS-00000089
MI-001430,COL-28363 - Primary Maintainable Component,Failure to Open/Close,CFIHOS-00000089
MI-001431,P-28082 - Primary Maintainable Component,Loss of Containment,CFIHOS-00000089
MI-001432,P-28337 - Primary Maintainable Component,Failure to Open/Close,CFIHOS-00000089
MI-001433,FCV-3166 - Primary Maintainable Component,Bearing Failure,CFIHOS-00000089
MI-001434,LT-16800 - Primary Maintainable Component,Loss of Calibration,CFIHOS-00000089
MI-001435,K-5683 - Primary Maintainable Component,Bearing Failure,CFIHOS-00000089
MI-001436,FCV-12114 - Primary Maintainable Component,Erratic Output,CFIHOS-00000089
MI-001437,FT-18844 - Primary Maintainable Component,Erratic Output,CFIHOS-00000089
MI-001438,COL-9199 - Primary Maintainable Component,Loss of Containment,CFIHOS-00000089
MI-001439,P-20368 - Primary Maintainable Component,Bearing Failure,CFIHOS-00000089
MI-001440,V-8450 - Primary Maintainable Component,Loss of Calibration,CFIHOS-00000089
MI-001441,LT-21059 - Primary Maintainable Component,Loss of Containment,CFIHOS-00000089
MI-001442,PSV-21396 - Primary Maintainable Component,Loss of Calibration,CFIHOS-00000089
MI-001443,COL-38994 - Primary Maintainable Component,Failure to Open/Close,CFIHOS-00000089
MI-001444,FCV-9328 - Primary Maintainable Component,Leakage,CFIHOS-00000089
MI-001445,E-33768 - Primary Maintainable Component,Failure to Open/Close,CFIHOS-00000089
MI-001446,XV-17174 - Primary Maintainable Component,Failure to Open/Close,CFIHOS-00000089
MI-001447,LT-20447 - Primary Maintainable Component,Erratic Output,CFIHOS-00000089
MI-001448,P-6227 - Primary Maintainable Component,Leakage,CFIHOS-00000089
MI-001449,P-5314 - Primary Maintainable Component,Failure to Open/Close,CFIHOS-00000089
MI-001450,PSV-20461 - Primary Maintainable Component,Failure to Open/Close,CFIHOS-00000089
MI-001451,K-36578 - Primary Maintainable Component,Loss of Containment,CFIHOS-00000089
MI-001452,FCV-16341 - Primary Maintainable Component,Bearing Failure,CFIHOS-00000089
MI-001453,FCV-30532 - Primary Maintainable Component,Failure to Open/Close,CFIHOS-00000089
MI-001454,COL-28145 - Primary Maintainable Component,Loss of Containment,CFIHOS-00000089
MI-001455,E-33883 - Primary Maintainable Component,Failure to Open/Close,CFIHOS-00000089
MI-001456,P-22833 - Primary Maintainable Component,Loss of Calibration,CFIHOS-00000089
MI-001457,PSV-2234 - Primary Maintainable Component,Leakage,CFIHOS-00000089
MI-001458,TT-32423 - Primary Maintainable Component,Loss of Calibration,CFIHOS-00000089
MI-001459,FT-13415 - Primary Maintainable Component,Bearing Failure,CFIHOS-00000089
MI-001460,P-4588 - Primary Maintainable Component,Loss of Containment,CFIHOS-00000089
MI-001461,PSV-188 - Primary Maintainable Component,Failure to Open/Close,CFIHOS-00000089
MI-001462,P-7608 - Primary Maintainable Component,Erratic Output,CFIHOS-00000089
MI-001463,P-10225 - Primary Maintainable Component,Bearing Failure,CFIHOS-00000089
MI-001464,LT-31713 - Primary Maintainable Component,Loss of Calibration,CFIHOS-00000089
MI-001465,PT-24749 - Primary Maintainable Component,Bearing Failure,CFIHOS-00000089
MI-001466,PT-32954 - Primary Maintainable Component,Bearing Failure,CFIHOS-00000089
MI-001467,PT-18316 - Primary Maintainable Component,Loss of Calibration,CFIHOS-00000089
MI-001468,E-23590 - Primary Maintainable Component,Loss of Containment,CFIHOS-00000089
MI-001469,V-8555 - Primary Maintainable Component,Bearing Failure,CFIHOS-00000089
MI-001470,LT-22227 - Primary Maintainable Component,Leakage,CFIHOS-00000089
MI-001471,E-12714 - Primary Maintainable Component,Leakage,CFIHOS-00000089
