tpvId,tagNumber,propertyId,value,unitOfMeasureId,cfihosId
TPV-0018533,FT-6178,PROP-008,100,UOM-MM,CFIHOS-00000030
TPV-0018534,FT-6178,PROP-010,Mineral Wool,,CFIHOS-00000030
TPV-0018535,P-6179,PROP-008,80,UOM-MM,CFIHOS-00000030
TPV-0018536,P-6179,PROP-011,3468.1,UOM-KG,CFIHOS-00000030
TPV-0018537,P-6179,PROP-009,300#,,CFIHOS-00000030
TPV-0018538,FCV-6180,PROP-011,10529.0,UOM-KG,CFIHOS-00000030
TPV-0018539,FCV-6180,PROP-005,729.8,UOM-M3H,CFIHOS-00000030
TPV-0018540,TT-6181,PROP-012,52.8,UOM-BARG,CFIHOS-00000030
TPV-0018541,TT-6181,PROP-009,900#,,CFIHOS-00000030
TPV-0018542,TT-6181,PROP-001,124.9,UOM-BARG,CFIHOS-00000030
TPV-0018543,TT-6182,PROP-001,68.2,UOM-BARG,CFIHOS-00000030
TPV-0018544,TT-6182,PROP-007,Hastelloy C276,,CFIHOS-00000030
TPV-0018545,TT-6182,PROP-005,810.2,UOM-M3H,CFIHOS-00000030
TPV-0018546,E-6183,PROP-005,210.1,UOM-M3H,CFIHOS-00000030
TPV-0018547,E-6183,PROP-001,14.9,UOM-BARG,CFIHOS-00000030
TPV-0018548,LT-6184,PROP-006,2690.9,UOM-KW,CFIHOS-00000030
TPV-0018549,LT-6184,PROP-010,Mineral Wool,,CFIHOS-00000030
TPV-0018550,LT-6184,PROP-009,900#,,CFIHOS-00000030
TPV-0018551,K-6185,PROP-005,319.3,UOM-M3H,CFIHOS-00000030
TPV-0018552,K-6185,PROP-001,106.3,UOM-BARG,CFIHOS-00000030
TPV-0018553,FT-6186,PROP-008,25,UOM-MM,CFIHOS-00000030
TPV-0018554,FT-6186,PROP-004,233.6,UOM-DEGC,CFIHOS-00000030
TPV-0018555,FT-6187,PROP-010,Personnel Protection,,CFIHOS-00000030
TPV-0018556,FT-6187,PROP-007,Duplex Stainless Steel,,CFIHOS-00000030
TPV-0018557,FT-6187,PROP-009,900#,,CFIHOS-00000030
TPV-0018558,FCV-6188,PROP-009,900#,,CFIHOS-00000030
TPV-0018559,FCV-6188,PROP-002,232.3,UOM-DEGC,CFIHOS-00000030
TPV-0018560,TT-6189,PROP-006,2050.3,UOM-KW,CFIHOS-00000030
TPV-0018561,TT-6189,PROP-005,1272.0,UOM-M3H,CFIHOS-00000030
TPV-0018562,TT-6189,PROP-009,600#,,CFIHOS-00000030
TPV-0018563,TT-6189,PROP-004,398.0,UOM-DEGC,CFIHOS-00000030
TPV-0018564,TT-6190,PROP-012,88.9,UOM-BARG,CFIHOS-00000030
TPV-0018565,TT-6190,PROP-008,200,UOM-MM,CFIHOS-00000030
TPV-0018566,LT-6191,PROP-011,10563.6,UOM-KG,CFIHOS-00000030
TPV-0018567,LT-6191,PROP-003,70.2,UOM-BARG,CFIHOS-00000030
TPV-0018568,LT-6191,PROP-005,72.0,UOM-M3H,CFIHOS-00000030
TPV-0018569,LT-6192,PROP-003,63.5,UOM-BARG,CFIHOS-00000030
TPV-0018570,LT-6192,PROP-005,1573.8,UOM-M3H,CFIHOS-00000030
TPV-0018571,LT-6192,PROP-007,Hastelloy C276,,CFIHOS-00000030
TPV-0018572,E-6193,PROP-010,Calcium Silicate,,CFIHOS-00000030
TPV-0018573,E-6193,PROP-012,20.4,UOM-BARG,CFIHOS-00000030
TPV-0018574,E-6193,PROP-007,Duplex Stainless Steel,,CFIHOS-00000030
TPV-0018575,E-6193,PROP-001,46.5,UOM-BARG,CFIHOS-00000030
TPV-0018576,FT-6194,PROP-001,40.2,UOM-BARG,CFIHOS-00000030
TPV-0018577,FT-6194,PROP-008,50,UOM-MM,CFIHOS-00000030
TPV-0018578,FT-6194,PROP-010,Mineral Wool,,CFIHOS-00000030
TPV-0018579,FT-6194,PROP-004,154.0,UOM-DEGC,CFIHOS-00000030
TPV-0018580,TT-6195,PROP-011,1289.0,UOM-KG,CFIHOS-00000030
TPV-0018581,TT-6195,PROP-010,Calcium Silicate,,CFIHOS-00000030
TPV-0018582,TT-6195,PROP-005,2128.2,UOM-M3H,CFIHOS-00000030
TPV-0018583,P-6196,PROP-010,Calcium Silicate,,CFIHOS-00000030
TPV-0018584,P-6196,PROP-008,400,UOM-MM,CFIHOS-00000030
TPV-0018585,P-6196,PROP-007,Carbon Steel,,CFIHOS-00000030
TPV-0018586,P-6196,PROP-003,4.8,UOM-BARG,CFIHOS-00000030
TPV-0018587,K-6197,PROP-003,100.8,UOM-BARG,CFIHOS-00000030
TPV-0018588,K-6197,PROP-008,150,UOM-MM,CFIHOS-00000030
TPV-0018589,COL-6198,PROP-005,36.0,UOM-M3H,CFIHOS-00000030
TPV-0018590,COL-6198,PROP-013,42.3,UOM-BARG,CFIHOS-00000030
TPV-0018591,COL-6198,PROP-008,400,UOM-MM,CFIHOS-00000030
TPV-0018592,COL-6198,PROP-012,4.5,UOM-BARG,CFIHOS-00000030
TPV-0018593,XV-6199,PROP-005,1942.7,UOM-M3H,CFIHOS-00000030
TPV-0018594,XV-6199,PROP-001,12.3,UOM-BARG,CFIHOS-00000030
TPV-0018595,FCV-6200,PROP-008,400,UOM-MM,CFIHOS-00000030
TPV-0018596,FCV-6200,PROP-002,375.7,UOM-DEGC,CFIHOS-00000030
TPV-0018597,FCV-6200,PROP-001,134.5,UOM-BARG,CFIHOS-00000030
TPV-0018598,FCV-6200,PROP-006,1292.2,UOM-KW,CFIHOS-00000030
TPV-0018599,E-6201,PROP-004,49.0,UOM-DEGC,CFIHOS-00000030
TPV-0018600,E-6201,PROP-007,Duplex Stainless Steel,,CFIHOS-00000030
TPV-0018601,E-6201,PROP-012,11.4,UOM-BARG,CFIHOS-00000030
TPV-0018602,FCV-6202,PROP-006,499.8,UOM-KW,CFIHOS-00000030
TPV-0018603,FCV-6202,PROP-012,33.0,UOM-BARG,CFIHOS-00000030
TPV-0018604,FCV-6202,PROP-013,18.7,UOM-BARG,CFIHOS-00000030
TPV-0018605,K-6203,PROP-001,100.2,UOM-BARG,CFIHOS-00000030
TPV-0018606,K-6203,PROP-005,2187.2,UOM-M3H,CFIHOS-00000030
TPV-0018607,K-6203,PROP-006,2128.1,UOM-KW,CFIHOS-00000030
TPV-0018608,COL-6204,PROP-010,Calcium Silicate,,CFIHOS-00000030
TPV-0018609,COL-6204,PROP-003,60.3,UOM-BARG,CFIHOS-00000030
TPV-0018610,XV-6205,PROP-007,Stainless Steel 316,,CFIHOS-00000030
TPV-0018611,XV-6205,PROP-013,67.2,UOM-BARG,CFIHOS-00000030
TPV-0018612,TT-6206,PROP-007,Hastelloy C276,,CFIHOS-00000030
TPV-0018613,TT-6206,PROP-004,190.2,UOM-DEGC,CFIHOS-00000030
TPV-0018614,TT-6206,PROP-008,80,UOM-MM,CFIHOS-00000030
TPV-0018615,COL-6207,PROP-006,2401.5,UOM-KW,CFIHOS-00000030
TPV-0018616,COL-6207,PROP-003,38.2,UOM-BARG,CFIHOS-00000030
TPV-0018617,P-6208,PROP-011,7218.9,UOM-KG,CFIHOS-00000030
TPV-0018618,P-6208,PROP-005,1721.7,UOM-M3H,CFIHOS-00000030
TPV-0018619,FT-6209,PROP-011,11887.2,UOM-KG,CFIHOS-00000030
TPV-0018620,FT-6209,PROP-004,295.9,UOM-DEGC,CFIHOS-00000030
TPV-0018621,FT-6209,PROP-010,Personnel Protection,,CFIHOS-00000030
TPV-0018622,K-6210,PROP-010,None,,CFIHOS-00000030
TPV-0018623,K-6210,PROP-002,209.7,UOM-DEGC,CFIHOS-00000030
TPV-0018624,K-6210,PROP-005,739.1,UOM-M3H,CFIHOS-00000030
TPV-0018625,K-6210,PROP-008,100,UOM-MM,CFIHOS-00000030
TPV-0018626,COL-6211,PROP-006,2641.9,UOM-KW,CFIHOS-00000030
TPV-0018627,COL-6211,PROP-001,149.6,UOM-BARG,CFIHOS-00000030
TPV-0018628,COL-6211,PROP-007,Carbon Steel,,CFIHOS-00000030
TPV-0018629,COL-6211,PROP-013,76.1,UOM-BARG,CFIHOS-00000030
TPV-0018630,FCV-6212,PROP-008,25,UOM-MM,CFIHOS-00000030
TPV-0018631,FCV-6212,PROP-004,140.8,UOM-DEGC,CFIHOS-00000030
TPV-0018632,P-6213,PROP-011,7881.1,UOM-KG,CFIHOS-00000030
TPV-0018633,P-6213,PROP-009,150#,,CFIHOS-00000030
TPV-0018634,P-6214,PROP-012,8.5,UOM-BARG,CFIHOS-00000030
TPV-0018635,P-6214,PROP-009,300#,,CFIHOS-00000030
TPV-0018636,P-6214,PROP-011,6216.4,UOM-KG,CFIHOS-00000030
TPV-0018637,P-6214,PROP-013,2.6,UOM-BARG,CFIHOS-00000030
TPV-0018638,E-6215,PROP-007,Duplex Stainless Steel,,CFIHOS-00000030
TPV-0018639,E-6215,PROP-001,61.2,UOM-BARG,CFIHOS-00000030
TPV-0018640,E-6215,PROP-003,129.8,UOM-BARG,CFIHOS-00000030
TPV-0018641,E-6215,PROP-009,600#,,CFIHOS-00000030
TPV-0018642,XV-6216,PROP-006,837.7,UOM-KW,CFIHOS-00000030
TPV-0018643,XV-6216,PROP-008,600,UOM-MM,CFIHOS-00000030
TPV-0018644,XV-6216,PROP-001,5.1,UOM-BARG,CFIHOS-00000030
TPV-0018645,XV-6216,PROP-010,Mineral Wool,,CFIHOS-00000030
TPV-0018646,P-6217,PROP-007,Duplex Stainless Steel,,CFIHOS-00000030
TPV-0018647,P-6217,PROP-001,41.2,UOM-BARG,CFIHOS-00000030
TPV-0018648,P-6217,PROP-009,600#,,CFIHOS-00000030
TPV-0018649,TT-6218,PROP-005,2295.5,UOM-M3H,CFIHOS-00000030
TPV-0018650,TT-6218,PROP-013,12.6,UOM-BARG,CFIHOS-00000030
TPV-0018651,P-6219,PROP-002,349.7,UOM-DEGC,CFIHOS-00000030
TPV-0018652,P-6219,PROP-007,Stainless Steel 316,,CFIHOS-00000030
TPV-0018653,P-6219,PROP-008,150,UOM-MM,CFIHOS-00000030
TPV-0018654,PT-6220,PROP-006,1111.9,UOM-KW,CFIHOS-00000030
TPV-0018655,PT-6220,PROP-003,40.5,UOM-BARG,CFIHOS-00000030
TPV-0018656,TT-6221,PROP-007,Carbon Steel,,CFIHOS-00000030
TPV-0018657,TT-6221,PROP-008,50,UOM-MM,CFIHOS-00000030
TPV-0018658,TT-6222,PROP-007,Stainless Steel 316,,CFIHOS-00000030
TPV-0018659,TT-6222,PROP-009,900#,,CFIHOS-00000030
TPV-0018660,XV-6223,PROP-007,Hastelloy C276,,CFIHOS-00000030
TPV-0018661,XV-6223,PROP-001,34.1,UOM-BARG,CFIHOS-00000030
TPV-0018662,XV-6223,PROP-011,4410.7,UOM-KG,CFIHOS-00000030
TPV-0018663,LT-6224,PROP-002,52.2,UOM-DEGC,CFIHOS-00000030
TPV-0018664,LT-6224,PROP-001,122.4,UOM-BARG,CFIHOS-00000030
TPV-0018665,LT-6224,PROP-008,600,UOM-MM,CFIHOS-00000030
TPV-0018666,E-6225,PROP-005,2438.4,UOM-M3H,CFIHOS-00000030
TPV-0018667,E-6225,PROP-002,241.0,UOM-DEGC,CFIHOS-00000030
TPV-0018668,PT-6226,PROP-003,100.7,UOM-BARG,CFIHOS-00000030
TPV-0018669,PT-6226,PROP-001,66.6,UOM-BARG,CFIHOS-00000030
TPV-0018670,P-6227,PROP-012,84.9,UOM-BARG,CFIHOS-00000030
TPV-0018671,P-6227,PROP-008,300,UOM-MM,CFIHOS-00000030
TPV-0018672,P-6227,PROP-004,224.4,UOM-DEGC,CFIHOS-00000030
TPV-0018673,P-6227,PROP-005,1027.8,UOM-M3H,CFIHOS-00000030
TPV-0018674,P-6228,PROP-009,300#,,CFIHOS-00000030
TPV-0018675,P-6228,PROP-010,None,,CFIHOS-00000030
TPV-0018676,P-6228,PROP-003,73.7,UOM-BARG,CFIHOS-00000030
TPV-0018677,PT-6229,PROP-002,65.5,UOM-DEGC,CFIHOS-00000030
TPV-0018678,PT-6229,PROP-007,Duplex Stainless Steel,,CFIHOS-00000030
TPV-0018679,COL-6230,PROP-010,None,,CFIHOS-00000030
TPV-0018680,COL-6230,PROP-003,8.1,UOM-BARG,CFIHOS-00000030
TPV-0018681,TT-6231,PROP-012,33.8,UOM-BARG,CFIHOS-00000030
TPV-0018682,TT-6231,PROP-009,600#,,CFIHOS-00000030
TPV-0018683,TT-6231,PROP-006,327.2,UOM-KW,CFIHOS-00000030
TPV-0018684,TT-6231,PROP-004,305.1,UOM-DEGC,CFIHOS-00000030
TPV-0018685,P-6232,PROP-012,34.3,UOM-BARG,CFIHOS-00000030
TPV-0018686,P-6232,PROP-002,257.1,UOM-DEGC,CFIHOS-00000030
TPV-0018687,P-6232,PROP-004,165.4,UOM-DEGC,CFIHOS-00000030
TPV-0018688,V-6233,PROP-007,Stainless Steel 316,,CFIHOS-00000030
TPV-0018689,V-6233,PROP-004,36.8,UOM-DEGC,CFIHOS-00000030
TPV-0018690,FCV-6234,PROP-007,Carbon Steel,,CFIHOS-00000030
TPV-0018691,FCV-6234,PROP-013,91.9,UOM-BARG,CFIHOS-00000030
TPV-0018692,FCV-6234,PROP-006,2789.6,UOM-KW,CFIHOS-00000030
TPV-0018693,P-6235,PROP-001,100.7,UOM-BARG,CFIHOS-00000030
TPV-0018694,P-6235,PROP-009,900#,,CFIHOS-00000030
TPV-0018695,K-6236,PROP-002,366.4,UOM-DEGC,CFIHOS-00000030
TPV-0018696,K-6236,PROP-013,33.1,UOM-BARG,CFIHOS-00000030
TPV-0018697,K-6236,PROP-008,25,UOM-MM,CFIHOS-00000030
TPV-0018698,K-6236,PROP-006,653.2,UOM-KW,CFIHOS-00000030
TPV-0018699,P-6237,PROP-012,70.2,UOM-BARG,CFIHOS-00000030
TPV-0018700,P-6237,PROP-004,322.2,UOM-DEGC,CFIHOS-00000030
TPV-0018701,P-6237,PROP-011,11354.9,UOM-KG,CFIHOS-00000030
TPV-0018702,P-6237,PROP-009,150#,,CFIHOS-00000030
TPV-0018703,E-6238,PROP-001,135.1,UOM-BARG,CFIHOS-00000030
TPV-0018704,E-6238,PROP-004,45.6,UOM-DEGC,CFIHOS-00000030
TPV-0018705,E-6238,PROP-012,85.9,UOM-BARG,CFIHOS-00000030
TPV-0018706,E-6238,PROP-011,3640.2,UOM-KG,CFIHOS-00000030
TPV-0018707,TT-6239,PROP-008,150,UOM-MM,CFIHOS-00000030
TPV-0018708,TT-6239,PROP-011,3627.0,UOM-KG,CFIHOS-00000030
TPV-0018709,TT-6239,PROP-005,2361.7,UOM-M3H,CFIHOS-00000030
TPV-0018710,TT-6239,PROP-003,133.1,UOM-BARG,CFIHOS-00000030
TPV-0018711,E-6240,PROP-005,2447.8,UOM-M3H,CFIHOS-00000030
TPV-0018712,E-6240,PROP-012,30.8,UOM-BARG,CFIHOS-00000030
TPV-0018713,E-6240,PROP-007,Hastelloy C276,,CFIHOS-00000030
TPV-0018714,TT-6241,PROP-013,57.5,UOM-BARG,CFIHOS-00000030
TPV-0018715,TT-6241,PROP-012,52.9,UOM-BARG,CFIHOS-00000030
TPV-0018716,TT-6241,PROP-004,272.1,UOM-DEGC,CFIHOS-00000030
TPV-0018717,TT-6241,PROP-006,2892.4,UOM-KW,CFIHOS-00000030
TPV-0018718,TT-6242,PROP-001,11.5,UOM-BARG,CFIHOS-00000030
TPV-0018719,TT-6242,PROP-008,80,UOM-MM,CFIHOS-00000030
TPV-0018720,FT-6243,PROP-002,383.7,UOM-DEGC,CFIHOS-00000030
TPV-0018721,FT-6243,PROP-004,447.5,UOM-DEGC,CFIHOS-00000030
TPV-0018722,FT-6243,PROP-008,50,UOM-MM,CFIHOS-00000030
TPV-0018723,FT-6243,PROP-003,28.3,UOM-BARG,CFIHOS-00000030
TPV-0018724,P-6244,PROP-012,12.3,UOM-BARG,CFIHOS-00000030
TPV-0018725,P-6244,PROP-010,None,,CFIHOS-00000030
TPV-0018726,P-6244,PROP-013,96.7,UOM-BARG,CFIHOS-00000030
TPV-0018727,PT-6245,PROP-012,63.9,UOM-BARG,CFIHOS-00000030
TPV-0018728,PT-6245,PROP-011,3544.8,UOM-KG,CFIHOS-00000030
TPV-0018729,P-6246,PROP-005,897.8,UOM-M3H,CFIHOS-00000030
TPV-0018730,P-6246,PROP-003,26.4,UOM-BARG,CFIHOS-00000030
TPV-0018731,P-6246,PROP-009,300#,,CFIHOS-00000030
TPV-0018732,V-6247,PROP-011,8852.3,UOM-KG,CFIHOS-00000030
TPV-0018733,V-6247,PROP-008,600,UOM-MM,CFIHOS-00000030
TPV-0018734,PSV-6248,PROP-006,2400.9,UOM-KW,CFIHOS-00000030
TPV-0018735,PSV-6248,PROP-011,2159.5,UOM-KG,CFIHOS-00000030
TPV-0018736,PSV-6249,PROP-010,Personnel Protection,,CFIHOS-00000030
TPV-0018737,PSV-6249,PROP-007,Duplex Stainless Steel,,CFIHOS-00000030
TPV-0018738,FT-6250,PROP-012,38.4,UOM-BARG,CFIHOS-00000030
TPV-0018739,FT-6250,PROP-004,71.1,UOM-DEGC,CFIHOS-00000030
TPV-0018740,E-6251,PROP-012,41.9,UOM-BARG,CFIHOS-00000030
TPV-0018741,E-6251,PROP-002,37.3,UOM-DEGC,CFIHOS-00000030
TPV-0018742,E-6251,PROP-001,90.3,UOM-BARG,CFIHOS-00000030
TPV-0018743,LT-6252,PROP-010,None,,CFIHOS-00000030
TPV-0018744,LT-6252,PROP-012,76.8,UOM-BARG,CFIHOS-00000030
TPV-0018745,LT-6252,PROP-001,142.8,UOM-BARG,CFIHOS-00000030
TPV-0018746,E-6253,PROP-005,902.1,UOM-M3H,CFIHOS-00000030
TPV-0018747,E-6253,PROP-002,340.7,UOM-DEGC,CFIHOS-00000030
TPV-0018748,E-6253,PROP-013,19.0,UOM-BARG,CFIHOS-00000030
TPV-0018749,E-6253,PROP-010,None,,CFIHOS-00000030
TPV-0018750,COL-6254,PROP-008,150,UOM-MM,CFIHOS-00000030
TPV-0018751,COL-6254,PROP-003,86.8,UOM-BARG,CFIHOS-00000030
TPV-0018752,FCV-6255,PROP-005,2364.6,UOM-M3H,CFIHOS-00000030
TPV-0018753,FCV-6255,PROP-001,15.1,UOM-BARG,CFIHOS-00000030
TPV-0018754,FCV-6255,PROP-006,86.4,UOM-KW,CFIHOS-00000030
TPV-0018755,FCV-6255,PROP-002,361.4,UOM-DEGC,CFIHOS-00000030
TPV-0018756,E-6256,PROP-009,600#,,CFIHOS-00000030
TPV-0018757,E-6256,PROP-002,304.7,UOM-DEGC,CFIHOS-00000030
TPV-0018758,E-6256,PROP-001,28.4,UOM-BARG,CFIHOS-00000030
TPV-0018759,XV-6257,PROP-011,1767.6,UOM-KG,CFIHOS-00000030
TPV-0018760,XV-6257,PROP-012,2.4,UOM-BARG,CFIHOS-00000030
TPV-0018761,XV-6257,PROP-008,100,UOM-MM,CFIHOS-00000030
TPV-0018762,K-6258,PROP-001,113.7,UOM-BARG,CFIHOS-00000030
TPV-0018763,K-6258,PROP-007,Stainless Steel 316,,CFIHOS-00000030
TPV-0018764,COL-6259,PROP-010,Personnel Protection,,CFIHOS-00000030
TPV-0018765,COL-6259,PROP-004,28.0,UOM-DEGC,CFIHOS-00000030
TPV-0018766,COL-6259,PROP-013,87.4,UOM-BARG,CFIHOS-00000030
TPV-0018767,COL-6259,PROP-007,Hastelloy C276,,CFIHOS-00000030
TPV-0018768,FT-6260,PROP-003,137.9,UOM-BARG,CFIHOS-00000030
TPV-0018769,FT-6260,PROP-008,80,UOM-MM,CFIHOS-00000030
TPV-0018770,FT-6260,PROP-007,Carbon Steel,,CFIHOS-00000030
TPV-0018771,FT-6260,PROP-004,446.2,UOM-DEGC,CFIHOS-00000030
TPV-0018772,PSV-6261,PROP-004,249.8,UOM-DEGC,CFIHOS-00000030
TPV-0018773,PSV-6261,PROP-003,21.0,UOM-BARG,CFIHOS-00000030
TPV-0018774,PSV-6261,PROP-007,Hastelloy C276,,CFIHOS-00000030
TPV-0018775,PSV-6261,PROP-009,600#,,CFIHOS-00000030
TPV-0018776,COL-6262,PROP-009,150#,,CFIHOS-00000030
TPV-0018777,COL-6262,PROP-011,7602.9,UOM-KG,CFIHOS-00000030
TPV-0018778,COL-6262,PROP-007,Stainless Steel 316,,CFIHOS-00000030
TPV-0018779,V-6263,PROP-011,6896.1,UOM-KG,CFIHOS-00000030
TPV-0018780,V-6263,PROP-002,30.2,UOM-DEGC,CFIHOS-00000030
TPV-0018781,P-6264,PROP-006,2091.3,UOM-KW,CFIHOS-00000030
TPV-0018782,P-6264,PROP-013,86.1,UOM-BARG,CFIHOS-00000030
TPV-0018783,E-6265,PROP-013,17.9,UOM-BARG,CFIHOS-00000030
TPV-0018784,E-6265,PROP-010,Personnel Protection,,CFIHOS-00000030
TPV-0018785,E-6265,PROP-011,7518.3,UOM-KG,CFIHOS-00000030
TPV-0018786,XV-6266,PROP-002,358.2,UOM-DEGC,CFIHOS-00000030
TPV-0018787,XV-6266,PROP-003,50.5,UOM-BARG,CFIHOS-00000030
TPV-0018788,LT-6267,PROP-012,59.8,UOM-BARG,CFIHOS-00000030
TPV-0018789,LT-6267,PROP-004,303.1,UOM-DEGC,CFIHOS-00000030
TPV-0018790,LT-6267,PROP-003,36.2,UOM-BARG,CFIHOS-00000030
TPV-0018791,LT-6267,PROP-013,55.1,UOM-BARG,CFIHOS-00000030
TPV-0018792,PT-6268,PROP-010,Personnel Protection,,CFIHOS-00000030
TPV-0018793,PT-6268,PROP-013,98.9,UOM-BARG,CFIHOS-00000030
TPV-0018794,PT-6268,PROP-006,2780.2,UOM-KW,CFIHOS-00000030
TPV-0018795,LT-6269,PROP-011,4620.8,UOM-KG,CFIHOS-00000030
TPV-0018796,LT-6269,PROP-009,150#,,CFIHOS-00000030
TPV-0018797,LT-6269,PROP-002,40.8,UOM-DEGC,CFIHOS-00000030
TPV-0018798,E-6270,PROP-009,150#,,CFIHOS-00000030
TPV-0018799,E-6270,PROP-012,40.0,UOM-BARG,CFIHOS-00000030
TPV-0018800,E-6270,PROP-005,1885.5,UOM-M3H,CFIHOS-00000030
TPV-0018801,PSV-6271,PROP-001,85.8,UOM-BARG,CFIHOS-00000030
TPV-0018802,PSV-6271,PROP-012,90.4,UOM-BARG,CFIHOS-00000030
TPV-0018803,PSV-6271,PROP-003,37.0,UOM-BARG,CFIHOS-00000030
TPV-0018804,PSV-6271,PROP-008,200,UOM-MM,CFIHOS-00000030
TPV-0018805,P-6272,PROP-011,11393.7,UOM-KG,CFIHOS-00000030
TPV-0018806,P-6272,PROP-008,600,UOM-MM,CFIHOS-00000030
TPV-0018807,P-6272,PROP-006,2737.2,UOM-KW,CFIHOS-00000030
TPV-0018808,PSV-6273,PROP-010,Mineral Wool,,CFIHOS-00000030
TPV-0018809,PSV-6273,PROP-001,48.7,UOM-BARG,CFIHOS-00000030
TPV-0018810,PSV-6273,PROP-008,600,UOM-MM,CFIHOS-00000030
TPV-0018811,PSV-6273,PROP-007,Stainless Steel 316,,CFIHOS-00000030
TPV-0018812,COL-6274,PROP-013,97.2,UOM-BARG,CFIHOS-00000030
TPV-0018813,COL-6274,PROP-005,1367.4,UOM-M3H,CFIHOS-00000030
TPV-0018814,LT-6275,PROP-008,25,UOM-MM,CFIHOS-00000030
TPV-0018815,LT-6275,PROP-005,2068.2,UOM-M3H,CFIHOS-00000030
TPV-0018816,FT-6276,PROP-008,80,UOM-MM,CFIHOS-00000030
TPV-0018817,FT-6276,PROP-002,436.3,UOM-DEGC,CFIHOS-00000030
TPV-0018818,FT-6276,PROP-004,-18.8,UOM-DEGC,CFIHOS-00000030
TPV-0018819,FT-6276,PROP-011,5964.4,UOM-KG,CFIHOS-00000030
TPV-0018820,LT-6277,PROP-008,100,UOM-MM,CFIHOS-00000030
TPV-0018821,LT-6277,PROP-012,9.6,UOM-BARG,CFIHOS-00000030
TPV-0018822,LT-6277,PROP-003,102.3,UOM-BARG,CFIHOS-00000030
TPV-0018823,P-6278,PROP-002,71.4,UOM-DEGC,CFIHOS-00000030
TPV-0018824,P-6278,PROP-006,2653.4,UOM-KW,CFIHOS-00000030
TPV-0018825,P-6278,PROP-004,31.8,UOM-DEGC,CFIHOS-00000030
TPV-0018826,LT-6279,PROP-010,Mineral Wool,,CFIHOS-00000030
TPV-0018827,LT-6279,PROP-013,51.9,UOM-BARG,CFIHOS-00000030
TPV-0018828,PSV-6280,PROP-013,52.6,UOM-BARG,CFIHOS-00000030
TPV-0018829,PSV-6280,PROP-003,88.6,UOM-BARG,CFIHOS-00000030
TPV-0018830,E-6281,PROP-010,Mineral Wool,,CFIHOS-00000030
TPV-0018831,E-6281,PROP-012,2.7,UOM-BARG,CFIHOS-00000030
TPV-0018832,P-6282,PROP-006,732.9,UOM-KW,CFIHOS-00000030
TPV-0018833,P-6282,PROP-001,71.1,UOM-BARG,CFIHOS-00000030
TPV-0018834,P-6282,PROP-003,43.7,UOM-BARG,CFIHOS-00000030
TPV-0018835,PSV-6283,PROP-007,Carbon Steel,,CFIHOS-00000030
TPV-0018836,PSV-6283,PROP-006,2988.5,UOM-KW,CFIHOS-00000030
TPV-0018837,PSV-6283,PROP-004,439.3,UOM-DEGC,CFIHOS-00000030
TPV-0018838,PSV-6283,PROP-009,600#,,CFIHOS-00000030
TPV-0018839,TT-6284,PROP-012,7.6,UOM-BARG,CFIHOS-00000030
TPV-0018840,TT-6284,PROP-011,7010.8,UOM-KG,CFIHOS-00000030
TPV-0018841,COL-6285,PROP-013,78.5,UOM-BARG,CFIHOS-00000030
TPV-0018842,COL-6285,PROP-008,200,UOM-MM,CFIHOS-00000030
TPV-0018843,K-6286,PROP-008,80,UOM-MM,CFIHOS-00000030
TPV-0018844,K-6286,PROP-007,Carbon Steel,,CFIHOS-00000030
TPV-0018845,K-6286,PROP-002,410.5,UOM-DEGC,CFIHOS-00000030
TPV-0018846,K-6286,PROP-009,150#,,CFIHOS-00000030
TPV-0018847,V-6287,PROP-001,34.2,UOM-BARG,CFIHOS-00000030
TPV-0018848,V-6287,PROP-007,Duplex Stainless Steel,,CFIHOS-00000030
TPV-0018849,P-6288,PROP-013,57.2,UOM-BARG,CFIHOS-00000030
TPV-0018850,P-6288,PROP-003,146.6,UOM-BARG,CFIHOS-00000030
TPV-0018851,FT-6289,PROP-004,335.3,UOM-DEGC,CFIHOS-00000030
TPV-0018852,FT-6289,PROP-007,Stainless Steel 316,,CFIHOS-00000030
TPV-0018853,FT-6289,PROP-001,75.5,UOM-BARG,CFIHOS-00000030
TPV-0018854,COL-6290,PROP-010,None,,CFIHOS-00000030
TPV-0018855,COL-6290,PROP-004,287.6,UOM-DEGC,CFIHOS-00000030
TPV-0018856,COL-6290,PROP-008,25,UOM-MM,CFIHOS-00000030
TPV-0018857,PSV-6291,PROP-009,600#,,CFIHOS-00000030
TPV-0018858,PSV-6291,PROP-002,142.0,UOM-DEGC,CFIHOS-00000030
TPV-0018859,PSV-6291,PROP-012,54.2,UOM-BARG,CFIHOS-00000030
TPV-0018860,PSV-6291,PROP-011,7386.7,UOM-KG,CFIHOS-00000030
TPV-0018861,E-6292,PROP-009,900#,,CFIHOS-00000030
TPV-0018862,E-6292,PROP-008,400,UOM-MM,CFIHOS-00000030
TPV-0018863,E-6292,PROP-007,Carbon Steel,,CFIHOS-00000030
TPV-0018864,E-6292,PROP-002,148.7,UOM-DEGC,CFIHOS-00000030
TPV-0018865,FCV-6293,PROP-010,Personnel Protection,,CFIHOS-00000030
TPV-0018866,FCV-6293,PROP-012,1.7,UOM-BARG,CFIHOS-00000030
TPV-0018867,FCV-6293,PROP-009,600#,,CFIHOS-00000030
TPV-0018868,FCV-6293,PROP-004,431.3,UOM-DEGC,CFIHOS-00000030
