systemId,name,systemType,cfihosId
SYS-00430,Cooling Water System,Cooling Water,CFIHOS-00000119
SYS-00431,Instrument Air System,Instrument Air,CFIHOS-00000119
SYS-00432,Power Distribution System,Power Distribution,CFIHOS-00000119
SYS-00433,Compression System,Compression,CFIHOS-00000119
SYS-00434,Firewater System,Firewater,CFIHOS-00000119
SYS-00435,Storage & Loading System,Storage & Loading,CFIHOS-00000119
SYS-00436,Crude Distillation System,Crude Distillation,CFIHOS-00000119
SYS-00437,Wastewater Treatment System,Wastewater Treatment,CFIHOS-00000119
SYS-00438,Hydrotreating System,Hydrotreating,CFIHOS-00000119
SYS-00439,Flare System,Flare,CFIHOS-00000119
SYS-00440,Power Distribution System,Power Distribution,CFIHOS-00000119
SYS-00441,Flare System,Flare,CFIHOS-00000119
SYS-00442,Cooling Water System,Cooling Water,CFIHOS-00000119
SYS-00443,Instrument Air System,Instrument Air,CFIHOS-00000119
SYS-00444,Wastewater Treatment System,Wastewater Treatment,CFIHOS-00000119
SYS-00445,Flare System,Flare,CFIHOS-00000119
SYS-00446,Crude Distillation System,Crude Distillation,CFIHOS-00000119
SYS-00447,Hydrotreating System,Hydrotreating,CFIHOS-00000119
SYS-00448,Compression System,Compression,CFIHOS-00000119
SYS-00449,Storage & Loading System,Storage & Loading,CFIHOS-00000119
SYS-00450,Cooling Water System,Cooling Water,CFIHOS-00000119
SYS-00451,Instrument Air System,Instrument Air,CFIHOS-00000119
SYS-00452,Storage & Loading System,Storage & Loading,CFIHOS-00000119
SYS-00453,Instrument Air System,Instrument Air,CFIHOS-00000119
SYS-00454,Flare System,Flare,CFIHOS-00000119
SYS-00455,Firewater System,Firewater,CFIHOS-00000119
SYS-00456,Power Distribution System,Power Distribution,CFIHOS-00000119
SYS-00457,Compression System,Compression,CFIHOS-00000119
SYS-00458,Wastewater Treatment System,Wastewater Treatment,CFIHOS-00000119
SYS-00459,Instrument Air System,Instrument Air,CFIHOS-00000119
SYS-00460,Storage & Loading System,Storage & Loading,CFIHOS-00000119
SYS-00461,Flare System,Flare,CFIHOS-00000119
SYS-00462,Cooling Water System,Cooling Water,CFIHOS-00000119
SYS-00463,Compression System,Compression,CFIHOS-00000119
SYS-00464,Firewater System,Firewater,CFIHOS-00000119
SYS-00465,Cooling Water System,Cooling Water,CFIHOS-00000119
SYS-00466,Hydrotreating System,Hydrotreating,CFIHOS-00000119
SYS-00467,Storage & Loading System,Storage & Loading,CFIHOS-00000119
SYS-00468,Compression System,Compression,CFIHOS-00000119
SYS-00469,Crude Distillation System,Crude Distillation,CFIHOS-00000119
SYS-00470,Firewater System,Firewater,CFIHOS-00000119
SYS-00471,Cooling Water System,Cooling Water,CFIHOS-00000119
SYS-00472,Storage & Loading System,Storage & Loading,CFIHOS-00000119
SYS-00473,Flare System,Flare,CFIHOS-00000119
SYS-00474,Compression System,Compression,CFIHOS-00000119
SYS-00475,Instrument Air System,Instrument Air,CFIHOS-00000119
SYS-00476,Wastewater Treatment System,Wastewater Treatment,CFIHOS-00000119
SYS-00477,Firewater System,Firewater,CFIHOS-00000119
SYS-00478,Hydrotreating System,Hydrotreating,CFIHOS-00000119
SYS-00479,Power Distribution System,Power Distribution,CFIHOS-00000119
SYS-00480,Flare System,Flare,CFIHOS-00000119
SYS-00481,Compression System,Compression,CFIHOS-00000119
SYS-00482,Instrument Air System,Instrument Air,CFIHOS-00000119
SYS-00483,Cooling Water System,Cooling Water,CFIHOS-00000119
SYS-00484,Firewater System,Firewater,CFIHOS-00000119
SYS-00485,Crude Distillation System,Crude Distillation,CFIHOS-00000119
SYS-00486,Compression System,Compression,CFIHOS-00000119
SYS-00487,Flare System,Flare,CFIHOS-00000119
SYS-00488,Wastewater Treatment System,Wastewater Treatment,CFIHOS-00000119
SYS-00489,Wastewater Treatment System,Wastewater Treatment,CFIHOS-00000119
SYS-00490,Firewater System,Firewater,CFIHOS-00000119
SYS-00491,Compression System,Compression,CFIHOS-00000119
SYS-00492,Instrument Air System,Instrument Air,CFIHOS-00000119
SYS-00493,Hydrotreating System,Hydrotreating,CFIHOS-00000119
SYS-00494,Crude Distillation System,Crude Distillation,CFIHOS-00000119
SYS-00495,Firewater System,Firewater,CFIHOS-00000119
SYS-00496,Cooling Water System,Cooling Water,CFIHOS-00000119
SYS-00497,Power Distribution System,Power Distribution,CFIHOS-00000119
SYS-00498,Instrument Air System,Instrument Air,CFIHOS-00000119
SYS-00499,Compression System,Compression,CFIHOS-00000119
SYS-00500,Crude Distillation System,Crude Distillation,CFIHOS-00000119
SYS-00501,Firewater System,Firewater,CFIHOS-00000119
SYS-00502,Flare System,Flare,CFIHOS-00000119
SYS-00503,Storage & Loading System,Storage & Loading,CFIHOS-00000119
SYS-00504,Power Distribution System,Power Distribution,CFIHOS-00000119
SYS-00505,Flare System,Flare,CFIHOS-00000119
SYS-00506,Hydrotreating System,Hydrotreating,CFIHOS-00000119
SYS-00507,Crude Distillation System,Crude Distillation,CFIHOS-00000119
SYS-00508,Wastewater Treatment System,Wastewater Treatment,CFIHOS-00000119
SYS-00509,Power Distribution System,Power Distribution,CFIHOS-00000119
SYS-00510,Firewater System,Firewater,CFIHOS-00000119
SYS-00511,Compression System,Compression,CFIHOS-00000119
SYS-00512,Cooling Water System,Cooling Water,CFIHOS-00000119
SYS-00513,Hydrotreating System,Hydrotreating,CFIHOS-00000119
SYS-00514,Power Distribution System,Power Distribution,CFIHOS-00000119
SYS-00515,Firewater System,Firewater,CFIHOS-00000119
SYS-00516,Storage & Loading System,Storage & Loading,CFIHOS-00000119
SYS-00517,Cooling Water System,Cooling Water,CFIHOS-00000119
SYS-00518,Power Distribution System,Power Distribution,CFIHOS-00000119
SYS-00519,Wastewater Treatment System,Wastewater Treatment,CFIHOS-00000119
SYS-00520,Flare System,Flare,CFIHOS-00000119
SYS-00521,Compression System,Compression,CFIHOS-00000119
SYS-00522,Instrument Air System,Instrument Air,CFIHOS-00000119
SYS-00523,Hydrotreating System,Hydrotreating,CFIHOS-00000119
SYS-00524,Storage & Loading System,Storage & Loading,CFIHOS-00000119
SYS-00525,Crude Distillation System,Crude Distillation,CFIHOS-00000119
SYS-00526,Hydrotreating System,Hydrotreating,CFIHOS-00000119
SYS-00527,Power Distribution System,Power Distribution,CFIHOS-00000119
SYS-00528,Flare System,Flare,CFIHOS-00000119
SYS-00529,Instrument Air System,Instrument Air,CFIHOS-00000119
SYS-00530,Compression System,Compression,CFIHOS-00000119
SYS-00531,Cooling Water System,Cooling Water,CFIHOS-00000119
SYS-00532,Compression System,Compression,CFIHOS-00000119
SYS-00533,Cooling Water System,Cooling Water,CFIHOS-00000119
SYS-00534,Storage & Loading System,Storage & Loading,CFIHOS-00000119
SYS-00535,Firewater System,Firewater,CFIHOS-00000119
SYS-00536,Compression System,Compression,CFIHOS-00000119
SYS-00537,Crude Distillation System,Crude Distillation,CFIHOS-00000119
SYS-00538,Power Distribution System,Power Distribution,CFIHOS-00000119
SYS-00539,Cooling Water System,Cooling Water,CFIHOS-00000119
SYS-00540,Flare System,Flare,CFIHOS-00000119
SYS-00541,Firewater System,Firewater,CFIHOS-00000119
SYS-00542,Crude Distillation System,Crude Distillation,CFIHOS-00000119
SYS-00543,Hydrotreating System,Hydrotreating,CFIHOS-00000119
SYS-00544,Compression System,Compression,CFIHOS-00000119
SYS-00545,Instrument Air System,Instrument Air,CFIHOS-00000119
SYS-00546,Cooling Water System,Cooling Water,CFIHOS-00000119
SYS-00547,Storage & Loading System,Storage & Loading,CFIHOS-00000119
SYS-00548,Firewater System,Firewater,CFIHOS-00000119
SYS-00549,Cooling Water System,Cooling Water,CFIHOS-00000119
SYS-00550,Power Distribution System,Power Distribution,CFIHOS-00000119
SYS-00551,Crude Distillation System,Crude Distillation,CFIHOS-00000119
SYS-00552,Storage & Loading System,Storage & Loading,CFIHOS-00000119
SYS-00553,Compression System,Compression,CFIHOS-00000119
SYS-00554,Firewater System,Firewater,CFIHOS-00000119
SYS-00555,Storage & Loading System,Storage & Loading,CFIHOS-00000119
SYS-00556,Crude Distillation System,Crude Distillation,CFIHOS-00000119
SYS-00557,Power Distribution System,Power Distribution,CFIHOS-00000119
SYS-00558,Firewater System,Firewater,CFIHOS-00000119
SYS-00559,Storage & Loading System,Storage & Loading,CFIHOS-00000119
SYS-00560,Flare System,Flare,CFIHOS-00000119
SYS-00561,Crude Distillation System,Crude Distillation,CFIHOS-00000119
SYS-00562,Cooling Water System,Cooling Water,CFIHOS-00000119
SYS-00563,Power Distribution System,Power Distribution,CFIHOS-00000119
SYS-00564,Firewater System,Firewater,CFIHOS-00000119
SYS-00565,Flare System,Flare,CFIHOS-00000119
SYS-00566,Cooling Water System,Cooling Water,CFIHOS-00000119
SYS-00567,Crude Distillation System,Crude Distillation,CFIHOS-00000119
SYS-00568,Wastewater Treatment System,Wastewater Treatment,CFIHOS-00000119
SYS-00569,Power Distribution System,Power Distribution,CFIHOS-00000119
SYS-00570,Instrument Air System,Instrument Air,CFIHOS-00000119
SYS-00571,Firewater System,Firewater,CFIHOS-00000119
SYS-00572,Crude Distillation System,Crude Distillation,CFIHOS-00000119
SYS-00573,Cooling Water System,Cooling Water,CFIHOS-00000119
SYS-00574,Crude Distillation System,Crude Distillation,CFIHOS-00000119
SYS-00575,Firewater System,Firewater,CFIHOS-00000119
SYS-00576,Flare System,Flare,CFIHOS-00000119
SYS-00577,Compression System,Compression,CFIHOS-00000119
SYS-00578,Flare System,Flare,CFIHOS-00000119
SYS-00579,Wastewater Treatment System,Wastewater Treatment,CFIHOS-00000119
SYS-00580,Storage & Loading System,Storage & Loading,CFIHOS-00000119
SYS-00581,Storage & Loading System,Storage & Loading,CFIHOS-00000119
SYS-00582,Power Distribution System,Power Distribution,CFIHOS-00000119
SYS-00583,Flare System,Flare,CFIHOS-00000119
SYS-00584,Crude Distillation System,Crude Distillation,CFIHOS-00000119
SYS-00585,Cooling Water System,Cooling Water,CFIHOS-00000119
